text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
the glory of the world is its gathered,86.119,4.32,88.279,0.5423,0.0,-0.5,0.42585669104070784,0.17694535468134803,0.47018292164715114
Beauty its tragedy,88.119,3.761,89.9995,-0.1531,0.0,0.4,0.4242240068792279,0.1794030634115348,0.46957255226900335
the beauty that has been,90.439,4.241,92.5595,0.5859,0.0,0.8,0.4220225863430316,0.182914010148435,0.46869930451500014
lost in that empty space there might,91.88,4.559,94.1595,-0.4767,-0.1,0.8,0.42078101740014473,0.18502071031030834,0.4681742708296743
have been a book of The Greatest Love,94.68,3.24,96.3,0.8555,0.75,-0.7,0.4192762967348426,0.18773497622110807,0.46749621173152067
Letters ever,96.439,4.521,98.6995,0.0,0.0,0.5,0.41779508404805366,0.19063777456477202,0.46676840175137163
written letters of unsurpassed charm and,97.92,5.44,100.64,0.4019,0.0,0.8,0.4167504001551944,0.19287857669036332,0.4662041117200162
passion written in the last,100.96,5.759,103.8395,0.4588,0.0,0.8,0.41531401305567783,0.19636806549618727,0.46531963591643993
century by this man the great poet,103.36,7.16,106.94,0.6249,0.8,0.8,0.414244941296396,0.19951012734215667,0.4645151050779996
Jeffrey Ashton to the beautiful Juliana,106.719,6.961,110.1995,0.5994,0.848382973247205,0.7,0.41344285653536783,0.20256437738441302,0.46372268778092496
bordo over 30 years ago I Louis fbl and,110.52,6.48,113.76,0.0,0.0,0.7,0.4129183131065159,0.20561538000905377,0.46291665929040726
an ambitious young publisher read those,113.68,6.28,116.82,0.4767,0.175,0.4,0.4127397918044032,0.20800472526788924,0.46227117607711593
letters for a few amazing tormented,117.0,5.719,119.8595,0.5859,0.2,0.7,0.4127928036916043,0.21016972960646885,0.4616710551001578
hours I held them in my hand literary,119.96,4.519,122.2195,0.4939,0.1,0.7,0.41298094245366634,0.2117103598153265,0.4612319809822857
Treasures that Publishers from Europe,122.719,4.441,124.9395,0.4215,0.0,0.4,0.41334535173687564,0.21333672554727406,0.4607537082518142
and America had sought long and,124.479,5.081,127.0195,0.0,-0.05,0.2,0.41372312561376345,0.2144744281426721,0.46040716606817617
desperately it all began with a brief,127.16,4.799,129.5595,-0.3818,-0.3,-0.7,0.4142918714058159,0.21574141783968362,0.46000549125605855
tantalizing note from a derelict artist,129.56,5.08,132.1,0.0,0.0,0.7,0.41496916260782263,0.21687653745960236,0.4596262597011216
Charles Russell who had vanished years,131.959,4.751,134.3345,0.0,0.0,-0.7,0.4156463014899833,0.2177677584462727,0.4593103680628242
before on the continent,134.64,35.91,152.59499999999997,0.0,0.0,0.4,0.4231290390645073,0.22151733461676829,0.45724274412842275
Venice I remember the long journey from,171.159,3.16,172.739,0.0,-0.05,0.3,0.4321050380773195,0.219172424887614,0.45563882986363
York I remember standing down on the,174.319,5.241,176.93949999999998,0.0,-0.1555555555555555,0.4,0.43361374951125964,0.21794080555091402,0.4553404736176957
footway of the canal waiting for Charles,176.56,5.84,179.48,0.0,0.0,0.2,0.4344170008266933,0.21708359161478694,0.45516042855826805
and as as I waited phrases from his,179.56,5.239,182.1795,0.0,0.0,0.3,0.43516625243502793,0.21608344993604042,0.45496781207107523
letter to me echoed through my,182.4,6.52,185.66,0.0,0.0,0.4,0.43595398185528367,0.21466310858765686,0.4547151891622441
mind Juliana bordo still,184.799,7.961,188.7795,0.0,0.0,0.4,0.4364692060997805,0.21326985395688486,0.45448232553597867
alive surely she has his letters Louis,188.92,6.959,192.3995,0.6705,0.3,0.4,0.4368147683965142,0.2115171182528776,0.4542014106828438
what a success for you if you got them,192.76,5.24,195.38,0.5719,0.3,0.8,0.43687570122545133,0.2099694023890876,0.45395915833667616
the publishing Triumph of the,195.879,6.561,199.1595,0.4767,0.0,0.6,0.4366346957254637,0.20787785998384908,0.4536344761371502
decade what would you like to do about,198.0,4.44,200.22,0.3612,0.0,0.2,0.43649890791711865,0.20726613938034186,0.4535393675385677
it welcome to Venice us how have you,207.92,5.08,210.46,0.4588,0.8,0.4,0.4334674638235653,0.20084494429432403,0.45250933832556994
Charles have you made the,214.519,4.841,216.9395,0.0,0.0,0.2,0.42978767320370775,0.19635057045464094,0.45172941816409024
arrangements yes I,217.319,5.241,219.9395,0.4019,0.0,0.7,0.42763502123251024,0.19417114946955152,0.4513278026136514
right there it is,232.519,4.521,234.7795,0.0,0.2857142857142857,0.6,0.4133509681528578,0.18264156227251627,0.4488850913792964
Juliana in that house still alive,237.04,5.72,239.9,0.3818,0.1,0.2,0.40721684085631243,0.17843569651522043,0.4478374203605623
The Immortal,240.92,4.48,243.16,0.25,0.0,0.7,0.40304284054636286,0.17571377040296096,0.4471078908709827
105 that is pretty close to Immortal,245.4,5.16,247.98,0.6369,0.25,0.8,0.3965318757616306,0.17163973016870537,0.44593383461504627
isn't it that's where they,247.76,5.319,250.4195,0.0,0.0,0.2,0.3930978504842804,0.1695600994903501,0.4452939450761723
met he came to this house as a guest to,250.56,5.56,253.34,0.0,0.0,0.2,0.388877591088303,0.1670589723412799,0.44448556090937286
have Martin bordo paint his portrait and,253.079,4.0,255.079,0.0,0.0,0.4,0.3863130155990915,0.16556526400806254,0.4439815975382531
Juliana the Exquisite Juliana this is,257.079,5.161,259.6595,0.0,0.848382973247205,0.6,0.3793960671967215,0.16162206284134548,0.4425701015128947
began the same LS,262.24,6.399,265.4395,0.0,0.0,0.4,0.3703940125845211,0.15664702383730092,0.44060618753313047
vbal always at home with the past who,264.96,5.32,267.62,0.0,-0.25,0.5,0.3669370202024854,0.1547761173080764,0.43980965229842467
would ever have thought that she'd still,268.639,3.801,270.53950000000003,0.0,0.0,0.4,0.36226977927221504,0.15228045741415505,0.43869343928064797
be here in,270.28,5.68,273.11999999999995,0.0,0.0,0.2,0.35811685967815104,0.15008632192533614,0.4376581054291967
Venice in that,272.44,3.52,274.2,0.0,0.0,0.2,0.3563732678472091,0.14917197540559862,0.437210901297596
house have you seen,276.36,5.92,279.32,0.0,0.0,0.7,0.34808673974638293,0.14487631640217863,0.43497585450450454
her no I doubt if anyone ever sees her,278.68,7.04,282.2,-0.0232,0.0,-0.7,0.3434282682872538,0.14249380654002347,0.43363263266957497
except her niece Miss Tina bordo and the,282.28,5.52,285.04,-0.1531,0.0,-0.7,0.3388512672977396,0.14017282726006078,0.43224526725311924
servants they're expecting me there'll,285.72,5.16,288.3,0.0,0.0,0.2,0.3336329891083817,0.137548094463994,0.43057366418130194
be no slip up no I left a deposit of 50,287.8,5.36,290.48,-0.5267,0.0,0.4,0.33017298726896877,0.13581902586450578,0.4294074899836129
Franks with a housekeeper I think they,290.88,4.72,293.24,0.0,0.0,0.3,0.3258358132168941,0.13366288756756034,0.42787408745998917
needed the money badly tomorrow they're,293.16,4.84,295.58000000000004,-0.4767,-0.6999999999999998,-0.7,0.3222039468575273,0.13186597915254317,0.42652310632840545
expecting you I followed your,295.6,4.36,297.78000000000003,0.0,0.0,0.4,0.31883344241186284,0.13020453390771247,0.42520944079990186
instructions said you were with William,298.0,4.479,300.2395,0.0,0.0,0.4,0.31512270910310636,0.1283812895850841,0.4236899143041346
Burton a young writer from,299.96,6.079,302.99949999999995,0.0,0.1,0.5,0.3110396997794326,0.1263810414775459,0.4219194294003063
America well if everything is as you say,302.479,7.041,305.9995,0.2732,0.0,0.3,0.3067109154652703,0.12426546561108055,0.41991491604138287
it is it is you'll be well,306.039,6.561,309.3195,0.2732,0.0,0.2,0.3020691586362009,0.12200037991636448,0.41759702364557477
rewarded how,309.52,7.36,313.2,0.4939,0.0,0.7,0.29686592080514207,0.11946176045940993,0.4147517334908733
well I'll send you $500,312.6,7.0,316.1,0.2732,0.0,0.7,0.29315051549712845,0.11764639833878679,0.4125271758569517
tomorrow if you get the letters Lewis,316.88,5.28,319.52,0.0,0.0,0.2,0.2889725360251824,0.11559913282269396,0.40979396443074584
and publish them you'll make a great,319.6,3.84,321.52000000000004,0.6249,0.8,0.8,0.2866290458845438,0.11444724206797616,0.40814109539358934
money I'm not concerned about that,323.44,5.56,326.22,0.0,0.0,0.2,0.2813966564049863,0.1118636669282869,0.40410159166241094
Charles whatever money May Come of this,326.8,5.04,329.32,0.0,0.0,0.7,0.2781453513627978,0.11024813111118625,0.401320293502416
will go to those were entitled to it to,329.0,5.4,331.7,0.2732,0.0,0.4,0.2757507222598372,0.10905208858264782,0.3991231703748518
perhaps do you know that Jeffrey Ashton,337.12,6.28,340.26,0.0,0.0,0.2,0.2678051451196592,0.105033805112193,0.3907897733581358
was last seen in that,339.96,3.44,341.68,0.0,0.0,0.2,0.2665797552384127,0.10440552839024961,0.38934380092595516
house one of these days she'll catch you,352.199,6.401,355.3995,0.0,0.0,-0.7,0.2558668466293972,0.09876790766062865,0.3744890081153141
in here and that'll be the end of you,354.44,4.16,356.52,0.0,0.0,-0.7,0.2550693240542522,0.09833501952352088,0.3732075836169636
why don't you see who it is,374.88,3.039,376.3995,0.0,0.0,0.2,0.24218035668312254,0.09096693439848383,0.34889986329518496
Amelia I think you should pull the,384.0,3.8,385.9,0.0,0.0,0.4,0.23646196643216932,0.08743139617844546,0.3363129978768684
drapes the sun's beginning to come into,385.88,5.039,388.3995,0.0,0.0,0.6,0.23495984436529382,0.08647464995826133,0.3329064369113054
Amilia did you allow the cats into the,393.8,3.959,395.7795,0.2263,0.0,0.3,0.23046375205245195,0.08354816417953095,0.32263073500609707
house I thought I heard no Miss Tina I,395.599,4.6,397.899,0.1139,0.0,0.2,0.22914427667726572,0.08267330682911841,0.31962185437080703
didn't hear,397.759,2.44,398.979,0.0,0.0,-0.5,0.2284653658038653,0.08222066112811476,0.3180791067394014
anything uh good day senorina I uh I am,408.199,6.761,411.5795,0.4404,0.7,0.2,0.22008841541861718,0.07652611302724799,0.29962889915680185
William Burton from,412.039,2.921,413.4995,0.0,0.0,0.4,0.2187177208065568,0.07558014594085392,0.29674882232716787
America would you be good enough to tell,415.08,6.399,418.2795,0.4404,0.35,0.4,0.2151678414376764,0.07311899428671967,0.28950561459994256
your lady that I miss Tina he's come,417.08,4.399,419.2795,-0.1531,0.0,0.3,0.2143982889169446,0.07258379697097059,0.2879775485506943
Miss bordo how do you do Mr Burton I've,426.639,6.28,429.779,-0.1531,0.0,0.2,0.20566378127575083,0.06648871990212482,0.27168613977004424
been expected yes you've been,429.96,5.76,432.84,0.4019,-0.1,0.2,0.20286380565520185,0.0645323827179066,0.26685730170692407
expected this seems a perfect place to,432.919,5.601,435.7195,0.5719,0.45,0.6,0.20011211113641034,0.06261075360850425,0.26228481569218387
write if I'm um not tempted away from,435.72,4.52,437.98,0.0,0.0,0.2,0.19786747419410067,0.06104450062928929,0.2586758245193431
work I should finish my novel by the end,438.52,3.56,440.3,0.3182,0.0,0.4,0.19548276187437919,0.05938216133538296,0.254954817508256
of the summer I'll tell my aunt you've,440.24,4.04,442.26,0.0,0.0,0.2,0.19340156809410414,0.05793302775189556,0.25179829813447724
arrived you and your aunt live here by,442.08,5.28,444.72,0.0,0.1363636363636363,0.2,0.19069977789620898,0.05605430351767236,0.2478205143907655
yourselves yes isn't it a bit lonely,444.28,5.08,446.82,0.0516,-0.0999999999999999,-0.7,0.18831144719845916,0.05439611366675893,0.24441132729600945
here for you only being with people that,447.36,3.119,448.9195,0.0,0.0,0.6,0.18584548696692887,0.05268669284953344,0.24099106920890978
make makes One,449.36,3.8,451.26,0.0,0.0,0.2,0.18300108978617602,0.05071842139882958,0.23716484942940466
Lonely Miss,450.479,4.881,452.9195,-0.4767,-0.0999999999999999,-0.7,0.1809218914606676,0.04928203725322475,0.234443779085331
bordo I shouldn't like to come here,453.16,6.24,456.28,-0.2755,0.0,0.4,0.17655614505095119,0.04627207605666251,0.22891409442396637
against your will it's her will that,455.36,4.04,457.38,0.0,0.0,-0.7,0.17508320627349813,0.04525826709129308,0.22709866800478715
counts had to stay here all this time,465.56,4.759,467.9395,0.0,0.0,-0.5,0.15992214635041618,0.034865363157710744,0.20955409523102794
behind that,467.84,2.479,469.0795,0.0,-0.4,-0.7,0.15818206749733338,0.03367690068039968,0.20764892045241176
curtain please kitty please do you want,470.4,5.28,473.04,0.5994,0.0,0.4,0.1519940180795072,0.029456913148475043,0.20101638182529022
to get all of us in trouble,472.56,3.12,474.12,-0.4019,-0.2,-0.7,0.15026954988992808,0.028282608767094097,0.19920435966703812
