text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
the commonwealth of australia land of,92.64,3.839,94.5595,0.0,0.0,0.7,0.17835376669834138,-0.05357321247352433,0.43812162420867773
many frontiers,95.119,3.521,96.8795,0.0,0.5,0.6,0.18007113058303686,-0.05235338968274027,0.4369299592070041
lone stepping stone across the vast,96.479,4.64,98.799,-0.2732,0.0,0.5,0.1814593455373464,-0.05136850685440711,0.43598874741847987
pacific to the mysterious brooding,98.64,4.96,101.12,0.0258,0.0,0.7,0.1830985968022409,-0.05020687908522323,0.4349037902044772
islands of the malayan archipelago,101.119,5.36,103.799,0.0,0.0,0.3,0.1849374331206184,-0.04890561005902755,0.43372238236433364
last outpost of the art and culture of,103.6,4.4,105.8,0.0,0.0,0.4,0.1862738576048878,-0.047961096811413764,0.43288853487787293
the western world,106.479,4.081,108.5195,0.0,0.0,0.7,0.188039658832517,-0.04671474083738767,0.43182041688113676
our story takes us to melbourne,108.0,3.52,109.76,0.0,0.0,0.7,0.18882589395143373,-0.04616039802465592,0.43135767664588043
birthplace of nelly melba the famous,111.52,4.08,113.56,0.0,0.5,0.3,0.19115979405359046,-0.04451712063921995,0.4300333740178782
coloratura soprano,113.84,4.72,116.2,0.0,0.0,0.7,0.19271544703843765,-0.043423732679268724,0.42919407760031403
australia's gift to american opera,115.6,4.24,117.72,0.4404,0.0,0.7,0.1935868056267703,-0.04281199534210924,0.4287401128529926
appearing here,118.56,3.28,120.2,0.0,0.0,0.2,0.19497053691782287,-0.04184159781183288,0.4280443475994766
as a token of appreciation for,119.84,4.0,121.84,0.5106,0.0,0.7,0.19585984309959795,-0.041218630574169,0.427614258493633
melbourne's glorious gift,121.84,4.8,124.24,0.7964,0.0,0.9,0.1971245147166278,-0.04033367414045388,0.42702696969531034
our two distinguished concert artists,123.84,4.399,126.0395,0.0,0.0,0.7,0.19804424156994338,-0.03969081412108784,0.4266187756685065
steeped in the tradition,126.64,5.16,129.22,0.0,0.0,0.7,0.1996103843384293,-0.03859756084471751,0.42596292885921205
of america's classical music,128.239,9.841,133.1595,0.0,0.0,0.6,0.2014457978098252,-0.03731870153816984,0.42526296031707844
you ready for this,138.08,6.0,141.08,0.3612,0.2,0.3,0.20479025975753434,-0.034995201799894224,0.4242105969941109
