text,start,duration,time_midpoint,vader,textblob,llama3
what do you people want,107.759,4.72,110.119,0.0772,0.0,0.4
do you have any pictures well why don't,110.64,3.92,112.6,0.2732,0.0,0.4
one of us go see okay i'll be back in a,112.479,4.561,114.7595,0.2263,0.25,0.7
week no he'll be right back then be,114.56,5.44,117.28,-0.296,0.14285714285714285,-0.7
right back yeah look joe you all ready,117.04,4.88,119.48,0.5719,0.1619047619047619,-0.7
all right i get set,120.0,3.11,121.555,0.0,0.2857142857142857,0.5
there they go,121.92,2.72,123.28,0.0,0.0,0.4
here we go,124.64,2.479,125.8795,0.0,0.0,0.2
and after every show the crowds get,141.28,3.36,142.96,0.0,0.0,0.5
bigger yeah remember when i used to be a,142.879,3.041,144.3995,0.296,0.0,-0.7
scared of crowds,144.64,3.2,146.23999999999998,-0.4404,0.0,-0.7
no more i like them they're only people,145.92,3.44,147.64,0.1477,-0.125,0.6
that's nice,147.84,3.6,149.64,0.4215,0.6,0.7
heart someone's knocking at the door,149.36,5.04,151.88000000000002,0.6369,0.0,0.4
answer it answer it all righty,151.44,5.6,154.24,0.0,0.0,0.6
oh hi eddie well hello eddie what,154.4,4.64,156.72,0.2732,0.0,0.3
happened to you it took three cups of,157.04,3.44,158.76,0.0,0.0,0.2
the squad of ushers to get us into the,159.04,3.279,160.6795,0.0,0.0,0.4
theater boys i'd like you to meet miss,160.48,3.759,162.3595,0.2263,0.0,0.4
lorelai how do you do hello miss lorelai,162.319,3.761,164.1995,-0.1531,0.0,0.7
how do you do,164.239,3.521,165.9995,0.0,0.0,0.2
oh that's our boy the biggest agent in,166.08,3.439,167.79950000000002,0.0,0.0,0.7
town and the easiest laugher yeah watch,167.76,4.08,169.79999999999998,0.7717,0.0,0.7
miss lorelei i want you to meet there my,172.319,3.521,174.0795,-0.0772,0.0,0.4
mom and paul how do you do i'd like you,174.0,4.959,176.4795,0.3612,0.0,-0.7
to meet my mom and pop they ain't here,175.84,4.56,178.12,0.0,0.0,0.4
miss laurel is doing your story for the,178.959,3.2,180.559,-0.1531,0.0,0.7
american weekly you boys seem to have,180.4,3.68,182.24,0.0,0.0,0.3
more fun than the customers oh we do,182.159,3.201,183.7595,0.5563,0.4,0.7
isn't it wonderful when people love,184.08,3.519,185.8395,0.2964,0.75,0.8
their work the food is ready oh can i,185.36,3.76,187.24,0.3612,0.2,0.4
fix you a sandwich no i'll just take,187.599,3.36,189.279,-0.296,0.0,-0.7
some notes that's not very nourishing,189.12,2.88,190.56,0.0,-0.1,-0.7
here why don't you try some of this,190.959,3.681,192.7995,0.0,0.0,0.8
terrific corned beef and salon,192.0,4.08,194.04,0.4767,0.0,0.2
oh yes we'll sit right down here and,194.64,3.36,196.32,0.4019,0.06507936507936506,0.7
we'll find out just how everything came,196.08,3.519,197.8395,0.0,0.0,0.4
about now how long have you been in the,198.0,3.44,199.72,0.0,-0.05,0.2
business about 12 years 12 years and,199.599,4.081,201.6395,0.0,0.0,0.4
where were you born scranton scranton oh,201.44,4.32,203.6,0.0,0.0,0.4
that is a coincidence were you boys born,203.68,3.21,205.285,0.0,0.0,0.4
in scranton no,205.76,2.559,207.0395,-0.296,0.0,-0.7
is this your first engagement at the,208.319,3.28,209.959,0.4588,0.25,-0.7
paramount oh i don't work here then what,209.84,3.44,211.56,0.0,0.0,0.2
are you doing here i came to get an,211.599,3.2,213.199,0.0,0.0,-0.7
interview from you well you better hurry,213.28,3.039,214.7995,0.6124,0.5,0.4
up we're almost done dear now what would,214.799,3.201,216.3995,0.323,0.0,0.4
you like to know hey fellas two minutes,216.319,3.121,217.8795,0.3612,0.0,0.6
two minutes what happened to the time,218.0,2.48,219.24,0.0,0.0,-0.7
you and pop do you want to go in the,219.44,2.24,220.56,0.0772,0.0,0.4
wings and watch your shower did you,220.48,2.96,221.96,0.0,0.0,0.4
leave the props on the piano,221.68,3.119,223.2395,-0.0516,0.0,0.2
joe what else do we have we don't use,224.799,3.761,226.6795,0.0,0.0,0.3
the horns this show oh hold these mama,226.56,3.92,228.52,0.0,0.0,0.7
come on mr lie with us but i want to,228.56,3.84,230.48,0.1154,0.0,0.4
know how you boys got together well what,230.48,3.839,232.3995,0.2732,0.0,0.3
about it what do you expect to do next,232.4,3.039,233.9195,0.0,0.0,0.2
oh well we're going to play some more,234.319,3.12,235.879,0.5423,0.5,0.4
