text,start,duration,time_midpoint
everybody loves a baby and it might as,20.42,6.37,23.605
well be you pretty baby,24.18,3.05,25.705
good morning,30.359,2.42,31.569000000000003
pretty baby,33.92,5.7,36.77
pretty baby,36.2,3.42,37.910000000000004
I like to be your sister brother dad and,65.88,7.7,69.72999999999999
mother two pretty babies,69.36,4.22,71.47
come here remember wouldn't you,120.6,4.5,122.85
were you addressing me yeah this,122.34,4.5,124.59
hummingbird Hill up here that is the,125.1,4.079,127.1395
name of this community I'm trying to,126.84,4.86,129.27
find 21 Carvers Lane they phoned for a,129.179,5.941,132.1495
cab oh someone going away or how would I,131.7,5.34,134.36999999999998
know they want a cab that's all you know,135.12,4.199,137.2195
where it is I do you continue on and,137.04,4.38,139.23
turn left into the First Street and this,139.319,4.021,141.3295
is the fourth house on the right thanks,141.42,5.3,144.07
buddy you are entirely welcome,143.34,3.38,145.03
hey you mind tell me what you're doing,150.3,3.96,152.28
with that feather I am cross-pollinating,152.459,4.92,154.919
a specimen of the family eredesia,154.26,6.059,157.2895
come again I am trying to develop a new,157.379,6.781,160.7695
strain of Iris I breed them no kidding,160.319,5.341,162.9895
you mean like some guys breed cocker,164.16,3.48,165.9
spaniels the principal believe it or not,165.66,5.12,168.22
is identical,167.64,3.14,169.20999999999998
Clarence yes Mother,175.08,5.22,177.69000000000003
what did that Taxi man want he's looking,177.36,5.82,180.27
for 21 Carver's Lane mother looked on,180.3,4.86,182.73000000000002
Earth do the hairy Kings need a cab for,183.18,5.04,185.70000000000002
I don't know mother well why didn't you,185.16,4.26,187.29
I did but he doesn't know either mother,189.42,6.92,192.88
oh you never find out anything,191.84,4.5,194.09
but I drink it now before it gets cold,196.86,4.56,199.14000000000001
never mind the milk wheel me over to,199.08,5.84,202.0
that other window quickly,201.42,3.5,203.17
careful now,206.099,4.701,208.4495
hurry hurry,207.72,3.08,209.26
I'm afraid you come to the wrong house I,259.139,3.0,260.639
didn't fall,260.76,3.9,262.71
right here please stop well this is,262.139,4.741,264.5095
number 21 somebody from here phone for a,264.66,4.5,266.91
cab I'm sorry but there must be some,266.88,4.58,269.17
mistake there's no mistake Mrs King,269.16,4.8,271.56
iPhone for a cab,271.46,4.84,273.88
really Mrs May Paul I don't quite,273.96,4.14,276.03
understand there's nothing to understand,276.3,3.899,278.2495
I'm quitting that's all and right now,278.1,3.78,279.99
but but you can't you you just can't,280.199,3.661,282.0295
walk out that's what you think when I,281.88,3.48,283.62
should put him in the cab yes you can,283.86,3.0,285.36
get by them kids in that awful dog,285.36,3.42,287.07
without getting them smashed now Mrs,286.86,4.2,288.96000000000004
Maple I don't know what's upset you no,288.78,4.32,290.94
you don't huh well I'll tell you it's,291.06,3.84,292.98
them three kids of yours that's upset me,293.1,4.379,295.28950000000003
and that horrible dog I accept me,294.9,4.98,297.39
they've given me nuts I'll never take,297.479,4.021,299.48949999999996
another job again anywhere where they,299.88,3.78,301.77
have kids or pets so help me we had,301.5,4.32,303.66
three children and a dog Mrs Maple when,303.66,3.72,305.52000000000004
you came we didn't spring them on you,305.82,4.2,307.92
unexpectedly I know I should have my,307.38,5.819,310.2895
head examined good day Mrs King mainly,310.02,6.44,313.24
them two days I got coming,313.199,3.261,314.8295
come on she was a pain in the neck,320.52,5.76,323.4
she couldn't cook goodies if you're a,323.82,5.78,326.71
much better cook mom,326.28,3.32,327.94
hello oh good morning Mrs King just a,337.38,5.06,339.90999999999997
moment please,340.02,2.42,341.22999999999996
you're white Mr King on two all right,342.78,4.1,344.83
hello honey say Mr Hammond wants us to,347.94,6.66,351.27
she didn't,354.6,3.84,356.52000000000004
why the old bag,356.46,4.62,358.77
the maid quit it's just bill it's all,358.44,4.44,360.66
right you can talk,361.08,4.559,363.35949999999997
what I said in a way I'm glad to get rid,362.88,5.099,365.4295
of her all she did was guzzle beer all,365.639,3.921,367.59950000000003
what tonight,369.56,5.26,372.19
but how can we who stay with the,372.36,4.26,374.49
children well you'll just have to get a,374.82,3.24,376.44
babysitter,376.62,3.78,378.51
I've told you Mr Hammond wants you and,378.06,3.72,379.92
me and Bill and Edna to come for dinner,380.4,2.16,381.47999999999996
I don't know,382.56,2.82,383.97
tell her head to raise a steak too but,385.38,4.68,387.71999999999997
she's going to find a sitter or else,387.36,4.399,389.5595
honey I can't argue with you now I'm,391.759,4.961,394.2395
doing Court I'll see you later and start,394.38,6.599,397.6795
phoning Sinners well okay I'll try,396.72,7.099,400.26950000000005
all righty For Heaven's Sake,409.46,4.92,411.91999999999996
hi pop hi hi fellas,448.139,4.68,450.479
Henry get off of me get off,453.5,6.72,456.86
hot enough for you pop why can't you,461.88,3.78,463.77
kids train that big Ox not to jump on,463.74,3.48,465.48
oh he's glad to see everybody what you,467.22,5.419,469.9295
got ice cream oh,469.56,3.079,471.0995
