text,start,duration,time_midpoint,vader,textblob,llama3
anybody at home,107.06,3.05,108.585,0.0,0.0,0.2
mr. Penton yes could I speak to you from,325.78,4.96,328.26,0.4019,0.0,0.2
loving please is the business matter,328.76,4.89,331.205,0.743,0.6,0.4
well it's rather urgent oh all right,330.74,10.23,335.855,0.4404,0.2857142857142857,0.4
come in Thanks oh yeah that's it sure,333.65,9.09,338.195,0.7506,0.35,0.8
dad Thanks,340.97,5.58,343.76000000000005,0.4404,0.2,0.7
I don't think I know you I know we,342.74,4.98,345.23,0.0,0.0,0.4
haven't met officially but you must have,346.55,3.21,348.15500000000003,0.0,0.0,0.2
noticed me quite a lot recently but,347.72,5.52,350.48,0.0,0.0,0.2
hello we're on the mantelpiece I've been,349.76,5.7,352.61,0.0,0.0,0.2
there for some time now I was there,353.24,3.54,355.01,0.0,0.0,0.4
watching you every time you came to make,355.46,3.18,357.04999999999995,0.0,0.0,0.5
up to my wife in fact I should have,356.78,2.73,358.145,0.0,0.0,-0.7
thought that any man with a touch of,358.64,2.4,359.84,0.0,0.0,0.6
finer feeling would have turned me to,359.51,2.76,360.89,0.128,0.0,0.4
the wall or at least covered me with,361.04,1.77,361.925,0.0,-0.3,0.2
you're lee Wallen that's right I thought,362.81,7.65,366.635,0.0,0.2857142857142857,0.8
that you were in America Vivian had a,368.12,3.48,369.86,0.0,0.0,0.3
cable from yesterday,370.46,3.18,372.05,0.0,0.0,0.2
what will these husband's do next I,371.6,4.38,373.79,0.0,0.0,0.2
suppose we didn't tell Joe that we'd,373.64,4.83,376.055,0.0,0.0,0.2
been mean what well that's we'd be not,375.98,5.1,378.53,0.2732,-0.3125,-0.4
together very nicely put I didn't mind,378.47,4.02,380.48,0.4927,0.78,0.7
the going out is the staying in the die,381.08,3.51,382.835,-0.5994,0.0,-0.7
objected to I don't know what you mean,382.49,5.16,385.07,0.0,-0.3125,-0.7
no Joe no I better tell you I've been,384.59,5.13,387.155,-0.4055,-0.25,0.4
away for eight months during my absence,387.65,3.45,389.375,0.0,-0.0125,-0.7
my wife is be spending a lot of time,389.72,3.33,391.3850000000001,0.0,0.0,-0.7
with you now I want to know where I,391.1,2.46,392.33,0.0772,0.0,0.3
and what sounds Vivian that I will of,393.56,5.79,396.455,0.0,0.0,0.4
course depends I want to know what,395.99,5.61,398.795,0.0772,0.0,0.2
you're offering offering yes you want to,399.35,4.02,401.36,0.4588,0.0,0.2
marry huh how can i when should matter,401.6,3.42,403.31,0.0258,0.0,-0.7
to you how that is such a thing is,403.37,5.37,406.055,0.0,0.0,-0.7
divorce I see you don't like the sound,405.02,6.149,408.0945,-0.2755,0.4,-0.7
of that very much well frankly no how do,408.74,3.51,410.495,0.046,0.26,-0.7
you mean to say the divine took a sock,411.169,2.25,412.294,0.5574,-0.3125,0.7
at you now and saw my solicitor in the,412.25,2.58,413.54,0.0,0.0,0.2
morning it wouldn't exactly enhance your,413.419,5.041,415.9395,0.0,0.25,-0.7
career with it it isn't that so much,414.83,5.43,417.545,0.0,0.2,-0.5
it's just that I'm not sure that live in,418.46,3.36,420.14,-0.2411,-0.05681818181818182,0.2
move on to marry me that's all it's,420.26,3.63,422.075,0.0,0.0,0.4
anywhere it doesn't get it anywhere does,421.82,5.54,424.59,0.0,0.0,-0.7
it well what you suggest we do about it,423.89,7.23,427.505,0.2732,0.0,0.3
how tell you tomorrow well you can go,427.36,5.89,430.305,0.2732,0.0,0.4
away take a long holiday I can't do that,431.12,4.83,433.535,0.4019,-0.05,-0.7
not right away why not visit me I'm not,433.25,4.04,435.27,0.0,-0.14285714285714285,-0.7
busy enough apparently,435.95,3.51,437.705,0.0,0.05000000000000001,0.2
what you do for a living I have a,437.29,4.24,439.41,0.0,0.0,0.2
barrister no then your own master you,439.46,3.209,441.0645,-0.296,0.6,0.4
can spin a yarn about your health or,441.53,3.09,443.075,0.0,-0.1,0.3
something all right I should be able to,442.669,4.681,445.0095,0.0,0.39285714285714285,0.4
fix it somehow I think you can you can,444.62,3.66,446.45,0.0,0.0,0.7
write a letter to Vivian,447.35,2.4,448.55,0.0,0.0,0.3
finishing the affair once and for all,448.28,5.33,450.945,0.0,0.0,-0.7
but I'd like you to do it now please,449.75,3.86,451.68,0.7351,0.0,0.5
wait will compels it together how do you,461.31,5.27,463.945,0.0,0.0,0.2
usually address our big India,464.61,6.35,467.785,0.0,-0.125,0.8
Vivian darling I love you,466.58,9.91,471.535,0.8402,0.5,0.6
you got that yes I realize look whatever,470.96,8.89,475.405,0.4019,0.0,0.4
your feelings are for me now you love,476.49,12.5,482.74,0.6369,0.5,0.7
your husband and always will better go I,479.85,13.89,486.795,0.4404,0.5,-0.7
cannot bear to be near you and to know,488.99,9.61,493.795,0.0,0.1,-0.8
that you can never be nice and if what,493.74,8.43,497.955,-0.3252,0.6,-0.7
I'm about to do may seem cowardly to,498.6,6.93,502.065,-0.3818,0.0,-0.7
your Karva your tip you're running away,502.17,6.23,505.285,0.0,0.0,-0.5
without seeing Oh,505.53,2.87,506.965,0.0,0.0,-0.7
cowardly to go it is the only way out so,509.9,11.89,515.845,-0.3818,0.0,-0.7
tomorrow I'm going away on an extended,517.8,9.96,522.78,0.0,0.0,0.3
trip abroad when I return I hope that,521.79,7.02,525.3,0.4404,0.0,0.7
you will again be happy with your,527.76,6.87,531.1949999999999,0.5719,0.8,0.7
husband and our friendship that are,528.81,11.31,534.4649999999999,0.4404,0.0,0.5
happy a memory of the past love again,534.63,8.27,538.765,0.836,0.35000000000000003,0.8
what have you usually put now always,540.12,4.73,542.485,0.0,-0.25,0.7
that's right,542.9,7.35,546.5749999999999,0.0,0.2857142857142857,0.2
love always how does that strike you I,544.85,7.45,548.575,0.5719,0.5,0.8
think I see what you're getting at one,550.25,4.12,552.31,0.0,0.0,0.4
you want all traces of our position out,552.3,3.48,554.04,0.0772,0.0,-0.7
of the way so that you two can try to,554.37,4.41,556.575,0.0,0.0,0.2
get together again exactly do you have,555.78,5.07,558.3149999999999,0.0,0.25,0.7
any understanding Clinton now the,558.78,3.69,560.625,0.0,0.0,0.3
circumstances I could almost like you,560.85,2.48,562.09,0.2975,0.0,0.2
what about a drink that I should like,563.33,7.29,566.975,0.3612,0.0,0.6
one whiskey please,565.83,7.74,569.7,0.3182,0.0,0.4
what's your American trip successful did,570.62,8.29,574.765,0.5859,0.375,0.4
it Sara please you wouldn't care to,573.57,7.65,577.3950000000001,-0.0844,0.0,0.2
settle the I suppose no naira tell ya,578.91,3.3,580.56,-0.296,0.0,0.2
may I now of course hmm I don't think we,585.36,10.77,590.745,0.0,0.0,0.2
could improve on they're still sorry,594.029,3.93,595.994,0.3818,-0.5,0.2
Fenton that's all right I'll fix wala,596.13,2.97,597.615,0.0,0.2857142857142857,0.3
that's not the drink I'm worried about,597.959,3.961,599.9395,-0.296,0.0,-0.7
fidelity statue it they'll be able to,599.1,5.07,601.635,0.0,0.5,0.4
send their fed you have to write another,601.92,4.05,603.9449999999999,0.0,0.0,-0.7
well I don't care what a newcomers tell,604.17,2.609,605.4744999999999,-0.1351,0.0,-0.7
us about this letter,605.97,4.82,608.38,0.0,0.0,0.2
hey there sorry to be such a nuisance,606.779,7.221,610.3895,-0.0772,-0.25,-0.5
could a girl who is she my sister why I,616.49,6.55,619.765,0.0,0.0,-0.7
just wondered your shirt is not somebody,620.279,4.831,622.6945,0.0,0.0,0.2
else's wife I don't think it's very,623.04,2.7,624.39,0.0,0.2,-0.7
yeah that's not hello,625.74,15.95,633.715,0.296,0.0,0.4
oh honey now heard I'm alright,636.089,10.25,641.214,0.25,0.0,-0.7
yes yes of course but not tonight,641.69,11.17,647.2750000000001,0.4019,0.0,0.6
metric I'm just getting out yes yes good,646.339,13.541,653.1095,0.8074,0.7,0.7
night your sister no your wife I don't,652.86,8.789,657.2545,-0.296,0.0,-0.7
mean that's very funny either she wanted,659.88,3.079,661.4195,0.4927,0.0062500000000000056,0.5
bring some friends they let her drink,661.649,4.981,664.1395,0.4767,0.0,0.4
but a sharpshooter haired you'd better,662.959,6.211,666.0645,0.5927,0.5,0.4
finish the letter,666.63,2.54,667.9,0.0,0.0,0.2
stop that's enough what's your hands,679.69,3.9,681.6400000000001,-0.296,0.0,0.2
behind your back okay I told you I'd,681.91,4.19,684.005,0.2263,0.033333333333333326,0.4
blow your guts out,683.59,2.51,684.845,0.0,0.0,0.4
well the basis will paint it's just joke,686.43,10.18,691.52,0.5106,0.0,0.7
