text,start,duration,time_midpoint
Madagascar for centuries the bloodiest,73.24,4.96,75.72
cockpit of all the Seas where the,75.88,3.919,77.8395
infamous Brotherhood of the Damned,78.2,3.16,79.78
waited to plunder the treasure Laden,79.799,4.64,82.119
gallions from India and Cafe then,81.36,5.24,83.98
returned drunk with slaughter to their,84.439,5.68,87.279
pirate stronghold of Last Hope most Ruth,86.6,6.199,89.6995
of all was Captain William kid he,90.119,4.481,92.3595
encountered the great London gallion the,92.799,4.6,95.099
12 apostles commanded by Admiral Lord,94.6,5.72,97.46
Blaine and approaching unsuspected in,97.399,5.481,100.1395
the guise of a peaceful merchantman by a,100.32,4.759,102.6995
sudden treacherous Salvo he reduced her,102.88,6.16,105.96
to a burning Hulk when night fell the 12,105.079,6.881,108.5195
apostles was only a blazing funeral p on,109.04,6.32,112.2
the Placid surface of a Madagascar,111.96,7.92,115.91999999999999
Lagoon stop me there's a pretty sight,115.36,6.079,118.3995
you'll be prettier still when the fire,119.88,3.559,121.6595
reaches the magazine Captain pretty,121.439,4.761,123.81949999999999
though lots of stout seing among them,123.439,4.761,125.81949999999999
they've been with us a long time we can,126.2,5.16,128.78
none of us live forever Mr Bole dead men,128.2,6.52,131.45999999999998
don't talk man Ro we got this job to do,131.36,5.35,134.03500000000003
before high,134.72,9.729,139.5845
there and Dig Fast if the tide catches,184.319,3.681,186.15949999999998
his head will'll save the king's hangman,186.599,3.681,188.43949999999998
road there you are deep enough to bury a,198.599,5.761,201.4795
man in give us a hand,201.92,6.76,205.29999999999998
mate all captain and she,204.36,5.91,207.31500000000003
what are you waiting for well captain,215.599,4.36,217.779
that chest been in Cabin a longest time,217.64,3.799,219.53949999999998
and we all thought as how it wouldn't do,219.959,3.081,221.4995
no harm to open up that chest and make,221.439,4.16,223.519
sure that what was in it then is in it,223.04,5.36,225.72
now I suppose you remember what was in,225.599,5.801,228.49949999999998
it I I remember an emerald necklace that,228.4,5.6,231.20000000000002
came off that pory ship elvenar and all,231.4,4.52,233.66
those pearls that we took from the big,234.0,4.959,236.4795
ship the Virgin Queen I remember a,235.92,5.159,238.49949999999998
diamond medall gallion we got from that,238.959,4.48,241.199
moish gallion off Madagascar and could,241.079,4.16,243.15900000000002
we ever forget that silver casket with,243.439,3.44,245.159
the arms of Lord Blaine that you claimed,245.239,3.521,246.9995
for yourself after the taking of the 12,246.879,5.041,249.3995
apostles sir your neck will be stretched,248.76,6.759,252.1395
as long as your memory one of these,251.92,3.599,253.71949999999998
satisfied Gallows meat put them,270.88,4.96,273.36
what's the matter wait a minute Captain,308.72,3.64,310.54
there's something else you forgot what,310.72,3.16,312.3
do you want now we've got but half an,312.36,2.96,313.84000000000003
hour before the tide trapped us that's,313.88,3.56,315.65999999999997
just made be sir we're all equal in this,315.32,4.68,317.65999999999997
I take it equal shares yes well that key,317.44,4.64,319.76
then what you put back in your belt that,320.0,4.36,322.18
goes down with the chest th we starts,322.08,3.72,323.94
all clear and no,324.36,4.0,326.36
favors and if some of us don't get back,325.8,4.08,327.84000000000003
it'll be that much easier open for them,328.36,3.72,330.22
as does question me honor again would,329.88,6.439,333.0995
you I'll rip you from Bly to,332.08,4.239,334.1995
Chine are we such callous Rascals that,354.52,6.48,357.76
we'd leave a dead comrade without,358.4,6.32,361.56
commending his soul to his new,361.0,3.72,362.86
master here lith one who through,367.88,7.24,371.5
treachery and avarice would have placed,371.479,7.401,375.17949999999996
in Jeopardy the lives of honest men and,375.12,8.32,379.28000000000003
here may he lie forever in the Sands of,378.88,9.08,383.42
Madagascar rest in,383.44,8.879,387.8795
peace it's time to out it's time to be,387.96,4.359,390.1395
away if a gentleman's a gentleman he's a,412.8,4.959,415.2795
gentleman that's all there is to it I'm,415.56,3.96,417.54
one of Nature's gentlemen but I need,417.759,4.681,420.09950000000003
polish my good man if I'm to improve,419.52,5.2,422.12
myself gentleman employs the terminology,422.44,4.56,424.71999999999997
my good man only when addressing lower,424.72,5.879,427.65950000000004
servants or is inferior sir you see,427.0,5.039,429.5195
that's why I need,430.599,3.361,432.2795
upbringing the gentleman never sucks his,433.96,4.76,436.34
te sir many a man's social career has,436.12,5.04,438.64
been ruined by lesser you seem to know,438.72,4.84,441.14000000000004
your business I want the best mind and I,441.16,5.92,444.12
can pay for it 100 quid a year an,443.56,5.96,446.54
infallible Mark of the person of quality,447.08,4.6,449.38
is his reluctance to pay his domestics,449.52,4.239,451.6395
High wages don't say so merely an,451.68,5.56,454.46
idiosyncrasy of good breeding,453.759,3.481,455.4995
sir 16 quid a year then you realize I've,457.319,6.481,460.5595
never been on board a ship before sir oh,461.56,4.16,463.64
don't let that frighten you to the,463.8,4.72,466.16
contrary in fact since I was a Nipper,465.72,4.36,467.90000000000003
I've had rather an adventurous,468.52,3.679,470.35949999999997
inclination toward life on the Bound in,470.08,5.079,472.61949999999996
main it should be quite educational sir,472.199,5.081,474.7395
you'll learn a lot no,475.159,5.961,478.1395
doubt is it a bargain then very well sir,477.28,5.84,480.2
my hand on,481.12,5.0,483.62
then it is your proposal my Lord bment,536.16,7.16,539.74
that Captain kid sail to meet our,540.12,4.839,542.5395
ambassador Lord fallsworth and give him,543.32,3.48,545.0600000000001
safe Convoy through the P at Waters of,544.959,6.12,548.0189999999999
metag gasa may please your majesty yes,546.8,7.039,550.3195
that needs a bold and adventurous man,551.079,5.601,553.8795
yes bring in this Captain kid while we,553.839,4.761,556.2195
take the measure of,556.68,5.48,559.42
him Captain William,562.16,3.64,563.98
your Royal,574.0,5.72,576.86
Majesty the noble,576.24,3.48,577.98
Lords Belmont is this your roaring,580.279,5.161,582.8595
killer of Spanish,583.6,5.04,586.12
Buccaneers M Milad I am only a peaceful,585.44,5.079,587.9795
ship master who must do trade with other,588.64,3.68,590.48
ships without inquiring too closely,590.519,4.161,592.5995
about their business and it was so I,592.32,4.72,594.6800000000001
fell into the hands of the twel Apostles,594.68,5.8,597.5799999999999
a king ship turned pirate in Madagascar,597.04,5.68,599.88
Waters I have never been in Madagascar,600.48,4.16,602.5600000000001
Waters Your Grace it was off the,602.72,3.88,604.6600000000001
southern tip of Africa where I had gone,604.64,4.92,607.1
to trade in elephant's teeth who,606.6,7.04,610.12
commanded her one of your Admirals your,609.56,7.92,613.52
majesty name of Lord Blain he did turn,613.64,8.199,617.7395
pirate then sufficiently mad to put fear,617.48,6.96,620.96
in honest Traders like,621.839,5.0,624.339
myself and if you are successful in this,624.44,5.839,627.3595
Voyage Captain what reward do you expect,626.839,4.761,629.2195
may it please your majesty having,630.279,3.041,631.7995
forfeited me honor in that I was forced,631.6,4.16,633.6800000000001
to strike me callous to a pirate I want,633.32,5.04,635.84
no reward but to regain it in the,635.76,6.72,639.12
service of your majesty unless it be is,638.36,7.4,642.0600000000001
it true that Lord Blain's lands are,642.48,5.24,645.1
restated and his title,645.76,6.519,649.0195
forfeit yes all well all I ask is that,647.72,7.799,651.6195
if I lay this Renegade nobleman by the,652.279,7.521,656.0395
heels is that you honor the humble self,655.519,7.76,659.399
with his castle and his,659.8,3.479,661.5395
lands is that all you want Captain kid,664.04,8.0,668.04
not a Fen more your majesty the fellow,668.2,6.04,671.22
treats of a title so lightly he must be,672.04,4.76,674.42
bursting with Noble blood though I,674.24,5.68,677.08
confess he keeps it well hid I sir you,676.8,4.52,679.06
can no more judge of a man by his,679.92,3.44,681.64
appearance than you can judge the extent,681.32,3.6,683.12
of a nobleman's brains by the,683.36,4.56,685.64
expensiveness of his,684.92,3.0,686.42
WI am I to suppose that the captain of,687.959,6.041,690.9794999999999
the King's Guard would Dain to fence,691.12,5.2,693.72
me come captain is your courage less,699.76,6.96,703.24
than your wit nice uh I know nothing of,702.959,4.801,705.3594999999999
fence you must come at me quickly as,707.76,7.68,711.6
though you'd kill me very well,711.72,3.72,713.58
then I ask pardon S I have a hote head,717.2,5.56,719.98
when roused I only meant to demonstrate,720.32,5.519,723.0795
and to good purpose,722.76,3.079,724.2995
Captain your majesty is satisfied with,729.56,4.92,732.02
the captain of our choosing I can think,732.2,6.6,735.5
of none better I thank you,734.48,4.32,736.64
sir and now,738.88,5.16,741.46
Captain the main mission of your Crews,741.279,4.961,743.7595
will be to meet a great ship the Quida,744.04,3.96,746.02
Merchant which is sailing from India,746.24,3.2,747.84
with vast Treasures,748.0,4.76,750.38
and to give her safe conduct in my name,749.44,5.88,752.3800000000001
pass the P at Waters of Madagascar but,752.76,5.0,755.26
your majesty will her commander accept,755.32,4.48,757.5600000000001
me letter of Mark a sufficient authority,757.76,3.6,759.56
to you shall have a letter to our,759.8,2.96,761.28
ambassador Lord fallsworth who is,761.36,2.599,762.6595
returning in,762.76,4.68,765.1
her that he is to accept your protection,763.959,6.481,767.1995
and to submit to all matters pertaining,767.44,5.44,770.1600000000001
to the safety of the ship and her,770.44,4.68,772.7800000000001
treasure s oh,772.88,4.24,775.0
yes and now,775.12,4.56,777.4
your crew Captain kid wishes to recruit,779.68,5.36,782.3599999999999
a crew from the Pirates now under,782.639,4.801,785.0395
Capital sentence in nugat and the,785.04,6.52,788.3
Marshal sea a crew of condemned Pirates,787.44,8.24,791.5600000000001
I sir there none would be so loyal nor,791.56,6.88,795.0
fight so desperate as Cutthroats and a,795.68,5.92,798.64
sentence of death if they knew that at,798.44,6.759,801.8195000000001
the end of The Voyage a royal pardon,801.6,5.359,804.2795
would be in their,805.199,4.08,807.2389999999999
pockets but I shall hold you accountable,806.959,4.521,809.2194999999999
for their Good Conduct between their,809.279,4.481,811.5195
conduct and mine your majesty there will,811.48,6.44,814.7
be little to choose and now,813.76,4.16,815.84
