text,start,duration,time_midpoint
do they say how big he is,124.32,4.28,126.46
respectful silence is the least,130.399,4.361,132.5795
would you say the dead man made a,145.04,3.68,146.88
reluctant corpse,146.4,4.32,148.56
a loose tongue soon loses his mouth,148.72,4.159,150.7995
captain orsini,150.72,3.84,152.64
a wise tongue never needs to repeat,152.879,3.201,154.4795
itself tonight as demand nor does a,154.56,5.0,157.06
competent assassin,156.08,3.48,157.82000000000002
duke assad,179.44,3.24,181.06
we have suffered a most tragic loss,199.12,4.8,201.52
my dear sister lucrecia has broken his,202.0,2.959,203.4795
the court will observe a proper period,204.959,4.321,207.11950000000002
of mourning,206.879,5.761,209.7595
how long to locker one year my lordship,209.28,5.2,211.88
the dead must not place too great a,214.48,3.92,216.44
burden on the living it's my belief that,216.319,5.92,219.279
everything even death can be turned into,218.4,3.839,220.3195
profit our army's whole peso remini,224.84,4.28,226.98
we're on the road to orbino bologna,229.12,6.08,232.16
sienna all tuscany the center of italy,232.799,4.16,234.87900000000002
from coast to coast will be ours then,235.2,5.72,238.06
inevitably milan,236.959,3.961,238.9395
and venice,241.12,4.88,243.56
but this devil begotten ferality,243.12,5.199,245.7195
stands blocking our progress,246.0,4.4,248.2
you guarina you're the military genius,248.319,4.081,250.3595
how would you take it perhaps with ten,250.4,4.08,252.44
thousand troops,252.4,4.72,254.76000000000002
or a woman,254.48,2.64,255.79999999999998
we will walk into ferrara through a,259.68,4.32,261.84000000000003
by arranging a marriage between my,264.0,4.4,266.2
recently willed sister to crazier and uh,265.919,5.041,268.4395
alfonso the servant of the duke your,268.4,4.079,270.43949999999995
knows that your destiny is negotiating,272.479,3.761,274.35949999999997
such a marriage with the french king,274.24,4.32,276.40000000000003
alfonso's blacksmith he needs a lusty,276.24,3.84,278.16
woman not one of those,278.56,4.88,281.0
frail french birds and who will convey,280.08,5.6,282.88
this delicate information,283.44,4.479,285.6795
who but a man is quick that deceit is a,292.72,5.12,295.28000000000003
he must have the grace of a dancer the,298.0,3.759,299.8795
wrist of an assassin,299.759,3.521,301.5195
he must have little regard for good,301.759,2.88,303.199
yet by his astuteness be able to confuse,304.639,4.56,306.919
men's minds,307.44,3.52,309.2
must have confidence in himself yet not,309.199,4.081,311.2395
permit that confidence to render him in,310.96,4.239,313.0795
he must charm as a snake charms a bird,315.199,6.641,318.5195
yet he must make no friends,318.96,4.48,321.2
except those that can be of use to him,321.84,3.28,323.47999999999996
and for the same reason although we make,323.44,3.759,325.3195
use of love,325.12,5.12,327.68
he must not love,327.199,3.041,328.71950000000004
he may go now all of you,336.88,4.72,339.24
andre orsini,347.039,3.481,348.7795
you question me,353.84,2.88,355.28
you're pleased with my choice,370.0,3.52,371.76
i've never questioned your lordship's,372.08,2.88,373.52
don esteban was,374.96,4.079,376.99949999999995
