text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
good morning,7.76,18.32,16.92,0.4404,0.6974697510607052,0.6,-0.06707671672146852,-0.09831779974156148,0.16300064383756502
this is the world Beneath the Sea,90.96,5.1,93.51,0.0,0.0,0.7,-0.05017066561616253,-0.03192277568243422,0.0766083607466368
mysterious and for the most part,96.06,6.239,99.1795,0.0,0.25,0.2,-0.049180421384101676,-0.028307763285458448,0.0732198066670897
unexplored by man,99.0,5.159,101.5795,0.0,0.0,0.6,-0.04877184009289624,-0.026827907415244913,0.07189232577265853
these are the Waters of the Gulf of,102.299,5.391,104.9945,0.0,0.0,0.2,-0.04820130532373865,-0.024773427303667054,0.07011060967118762
Mexico off the West Coast of Florida,104.159,14.221,111.2695,0.0,0.0,0.4,-0.04718604898369597,-0.02115364105988724,0.06715688893257703
this is a sponge fisherman a special,118.38,4.44,120.6,0.4019,0.3571428571428571,0.4,-0.04575526690935245,-0.016137146662038568,0.06350132654283494
breed of man dedicated to the most,120.78,5.839,123.6995,0.4588,0.5,-0.5,-0.045300728889155005,-0.01456597386344041,0.062473970677689485
dangerous of all occupations,122.82,3.799,124.7195,-0.4767,-0.5866728106763862,0.6,-0.045153402282086294,-0.01405919125767241,0.062155659451849955
where are you going,291.24,4.679,293.5795,0.0,0.0,-0.7,-0.035431771754836555,0.010439151808167887,0.09030577797619187
hey wait listen I go down no you're not,292.86,5.58,295.65000000000003,-0.296,-0.1555555555555555,-0.7,-0.035484609998579233,0.010137873983339147,0.09098408145151779
we're going home we can't go home with,295.919,4.921,298.3795,0.0,0.0,0.2,-0.03556030076872094,0.009723335828371517,0.09186577181137279
an empty boat Pop I can hear them laugh,298.44,5.34,301.11,0.4215,0.0999999999999999,0.5,-0.035642870286436784,0.009289122802888156,0.09273233119797028
when we bring this garbage in the,300.84,5.1,303.39,0.0,0.0,-0.7,-0.035717053566696175,0.008911780476834321,0.09344311147394703
auction Market you know what we need we,303.78,3.9,305.73,0.0,0.0,0.2,-0.03579813306851524,0.008510702773295357,0.09415960930276898
need a diver who's got eyes like an eel,305.94,3.9,307.89,0.3612,0.0,0.3,-0.03587741120087016,0.00812820687063439,0.09480859573246439
a nose like a shark so can smell sponges,307.68,4.38,309.87,0.3612,0.0,0.4,-0.03595381564871813,0.007767352136545288,0.09539246600860016
a mile away a diver will go down and he,309.84,3.72,311.7,0.0,-0.1555555555555555,0.4,-0.036027600808997653,0.00742522028959448,0.09592226415285861
won't come up until a boat's loaded with,312.06,3.66,313.89,0.0,0.0,0.3,-0.03611989468429153,0.0070050201755227,0.09654328405850493
100 strings and you got him he's right,313.56,4.68,315.9,0.0,0.2857142857142857,0.8,-0.036208424775695074,0.006609145476567004,0.09710023900310989
here on board oh,315.72,4.14,317.79,0.0,0.0,0.4,-0.03629500003578877,0.006228085759555745,0.09761208273548816
who me who else,319.86,3.8,321.76,0.0,0.0,0.2,-0.036487338838774266,0.005400217974691388,0.09864779394670131
hey it's Penny hey Pop look it's Mom and,338.479,5.041,340.9995,0.0,0.0,0.4,-0.03761906221079153,0.0008856391660449924,0.10278787627207064
and Bill Coyle,351.44,4.72,353.8,0.0,0.0,0.4,-0.03855318937494566,-0.002547756078607583,0.10457364314694881
saw 40 so I thought they were a big,353.639,3.9,355.589,0.0,0.0,0.4,-0.03869514296857713,-0.003053053458702346,0.10475193372045642
smile on his face,356.16,4.56,358.44,0.3612,0.3,0.7,-0.03892710811216189,-0.003870708701677275,0.10499741270284221
and the Aging hand,357.539,8.181,361.6295,0.4939,0.0,0.2,-0.03919495791166966,-0.004803177614047754,0.10521410129493355
s hey Pop look at cnan's boat the aliens,360.72,5.0,363.22,0.0,0.0,0.4,-0.03933180975524182,-0.005275042195622421,0.10529866146593059
you miss me,380.12,3.359,381.7995,-0.1531,0.0,0.7,-0.041091035310805636,-0.011107049933575698,0.10503275672527806
did the boys bother her very much while,392.18,4.9,394.63,-0.34,0.26,-0.7,-0.042476651152023204,-0.015449832869484297,0.10335572095013268
I was away,394.62,4.62,396.93,0.0,0.0,0.2,-0.04273960890950293,-0.016253024658403746,0.10291333110537246
what are you doing here woman why aren't,397.08,3.959,399.0595,0.0,0.0,-0.7,-0.04298699930777915,-0.01700302035090337,0.10246353335680904
you home in your kitchen cooking who,399.24,4.28,401.38,0.0,0.0,0.7,-0.043260866252559094,-0.01782708067980069,0.1019286202313702
should I cook for empty house,401.039,6.861,404.4695,-0.2023,-0.1,-0.7,-0.04363241242507977,-0.01893495777177953,0.10114259587695591
for a long time you don't see each other,403.52,4.38,405.71,0.0,-0.0875,-0.7,-0.04378381516007719,-0.01938316462721775,0.10080286945595648
say big hello,408.24,5.16,410.82,0.0,0.0,0.7,-0.04442085083986411,-0.021249169477441602,0.09925436182113012
he lends you money now he wants to run,410.759,4.141,412.8295,0.0,0.2,-0.7,-0.044677237246278825,-0.021991401928159748,0.09857838752500685
hey Tony bring me one of those sponges,414.9,3.919,416.8595,0.0,0.0,0.2,-0.04520136526598101,-0.02349368438604992,0.0971057483755626
well we're alone I'll uh I'll say big,422.699,5.821,425.6095,0.0258,0.0,0.7,-0.04638484049991243,-0.026815093915263315,0.09335277232849555
hello Mama,425.22,3.3,426.87,0.0,0.0,0.3,-0.04656043451465842,-0.027299913420867558,0.09274750662274193
hey Pop look wool sponges a whole loaf,437.22,4.94,439.69000000000005,0.0,0.2,0.3,-0.04841876471998058,-0.032312714343771386,0.08562215452656255
will I ever see 100 strings they come,442.44,4.68,444.78,0.0,0.0,-0.7,-0.049192915420555317,-0.03434057625966378,0.08228446348701812
out of deep water hey Mike they're,445.199,3.06,446.729,0.0,0.0,0.3,-0.0494947705550246,-0.03512213136409642,0.08092691182444578
reading out the fish,447.12,3.799,449.0195,0.0,0.0,0.4,-0.049853344134102875,-0.03604402329186353,0.07927421493206352
go ahead I go back to my kitchen and,451.919,4.881,454.3595,0.0,0.0,0.4,-0.05070531678536946,-0.03820669470228933,0.07517656349199035
all right she's trying to get rid of you,457.68,4.16,459.76,0.0,0.2857142857142857,-0.7,-0.05158961515532744,-0.04041131638201321,0.07067603489380202
how do you like that,459.0,2.84,460.42,0.3612,0.0,0.4,-0.05169924290504835,-0.04068185011972395,0.07010094265607446
the beach and the cargo Spawn from the,462.419,4.261,464.5495,0.0,0.0,0.4,-0.052392832286005234,-0.04237955959399231,0.06637649045131618
boat Helios,465.3,4.08,467.34,0.0,0.0,0.7,-0.05286898926009297,-0.04353137740018297,0.06373488429000916
Ajax sponge company,466.68,6.54,469.95,0.0,0.0,0.4,-0.05331977631837083,-0.04461175555236033,0.06117157256591652
my sweet brother,478.52,4.079,480.5595,0.4588,0.35,0.8,-0.055205897517129204,-0.04902908095551219,0.04980620330537998
where do you get that sponge where did,484.08,3.179,485.6695,0.0,0.0,-0.5,-0.05614487442596042,-0.05116817563451418,0.043774466973094554
you get it that's what we want to know,486.06,3.24,487.68,0.0772,0.0,0.7,-0.05651971475834111,-0.052011295610934455,0.04129915565743591
you've seen what I brought you're like,487.259,5.211,489.8645,0.3612,0.0,-0.7,-0.056930443475153567,-0.052928163885435614,0.03854386354943543
ah as sweet as fun,489.3,4.5,491.55,0.743,0.3249999999999999,0.7,-0.05724979878938863,-0.053636066665220784,0.036372497136331595
letting us in on the,493.8,2.959,495.2795,0.0,0.0,0.3,-0.057963992927162415,-0.05520357274197525,0.031433938524459686
where did you get it,498.599,3.081,500.1395,0.0,0.0,0.2,-0.05891023572836717,-0.05724764265964452,0.024740324713488138
we went to the 12 mile Reef,501.78,4.039,503.7995,0.0,0.0,0.6,-0.05963440511264757,-0.058787238043865445,0.019523510172750797
nobody's been at the 12 mile Reef not,506.34,3.78,508.23,0.0,0.0,-0.7,-0.06052425387892123,-0.06065021624261307,0.01302665522359427
since it killed my brother Pete that's,508.5,3.479,510.2395,-0.6705,-0.2,-0.8,-0.0609326106868569,-0.061494643852453304,0.010020059205023035
when we went right out to Pete's Market,510.12,3.659,511.9495,0.0,0.2857142857142857,0.4,-0.061282435292740085,-0.062212836262535036,0.007434426276555611
where he's still in the water we went,511.979,5.281,514.6195,0.0,0.0,-0.7,-0.0618329260555875,-0.06333336470223629,0.0033505883000796623
way down over 20 thousands down knocked,513.779,4.221,515.8895,0.0,-0.1555555555555555,-0.7,-0.062096594298965385,-0.06386592135829841,0.0013893857115981326
these pants fit loose on you you lose,518.0,4.539,520.2695,-0.3612,0.1615384615384615,-0.7,-0.06301493056316164,-0.06570004843874755,-0.005457875641070278
your feet in your shoes and you're too,520.5,4.08,522.54,0.0,0.0,0.3,-0.06349644607795632,-0.06664899889622018,-0.00905299023115961
scared to go down,522.539,4.441,524.7595,-0.4404,-0.1555555555555555,-0.7,-0.0639707423955467,-0.06757524069708953,-0.012593577760220511
I went down all right,524.58,6.0,527.58,0.0,0.065079365079365,0.6,-0.06457858460506727,-0.06875008035247186,-0.01712572488240975
if you went down you saw the reef,526.98,6.62,530.29,0.0,-0.1555555555555555,0.7,-0.06516798910460364,-0.06987631079551292,-0.021509814989572877
what does it look like,530.58,3.02,532.09,0.3612,0.0,0.2,-0.06556237864597883,-0.07062283374884477,-0.02443511467442571
you're looking at a ghost,536.16,4.32,538.3199999999999,-0.3182,0.0,-0.5,-0.06694521647207018,-0.0731960658068994,-0.03461855402942622
I died down there,538.2,6.12,541.26,-0.5574,-0.1555555555555555,-0.7,-0.06760734713360486,-0.07440406805996304,-0.039442803366410255
that Coral is beautiful my shop like a,540.48,6.419,543.6895000000001,0.7506,0.6974697510607052,0.7,-0.0681591072728306,-0.07539892342236734,-0.04343169874125157
raisin Cuts yourself to ribbons,544.32,5.4,547.0200000000001,-0.296,0.0,-0.7,-0.06892223443989647,-0.07675738409409913,-0.04889597804713165
there are caves everywhere your airline,546.899,4.261,549.0295,0.0,0.0,0.2,-0.06938643619900091,-0.07757385931173544,-0.05218705031266171
gets tangled up until you think you,549.72,2.76,551.1,0.0,0.0,-0.7,-0.06986767935827032,-0.07841248921884016,-0.055570646579955744
you're never gonna get out of there,551.16,4.859,553.5894999999999,0.0,0.0,-0.7,-0.07045026362476281,-0.07941713469417828,-0.05962576849403216
Cliffs the drop I'm gonna hug you,552.48,6.12,555.54,0.25,0.0,0.7,-0.07090972076068656,-0.08020132462947553,-0.06279036441166477
I don't understand that runs just like a,556.019,5.581,558.8095,0.3612,0.0,0.3,-0.07168578796101521,-0.08150973440864272,-0.0680644405288085
river keeps pushing you off,558.6,5.58,561.39,0.0,0.0,-0.7,-0.07230351884701072,-0.08253678550031357,-0.07219488450883348
I wouldn't go down there again for all,561.6,4.38,563.7900000000001,0.0,-0.1555555555555555,-0.7,-0.07288215072695137,-0.08348732612438232,-0.07600709820369596
the sponges in the world,564.18,4.02,566.1899999999999,0.0,0.0,0.2,-0.07346473102861095,-0.08443318213971875,-0.07978994343907199
you spend your money,565.98,4.32,568.14,0.0,0.0,-0.5,-0.07394097645918263,-0.08519811733345724,-0.08284152083357872
you go broke,568.2,5.12,570.76,-0.4215,0.0,-0.7,-0.07458493466139968,-0.08622065335744611,-0.08691003304773809
you go down again,570.3,5.58,573.0899999999999,0.0,-0.1555555555555555,-0.7,-0.07516153321236074,-0.08712480522366911,-0.09049731751940336
the winning beat,573.32,6.639,576.6395,0.5267,0.5,0.7,-0.07604698170413353,-0.08849238532034416,-0.09590513380811684
Mr Carson of the New York sponge company,575.88,6.92,579.34,0.0,0.1363636363636363,0.4,-0.07672633255412806,-0.08952462087987652,-0.09997243828356453
500. everybody,582.8,2.45,584.025,0.0,0.0,0.8,-0.07791652633424515,-0.09129771151356493,-0.10692988102969848
you want to sell your sponges,594.06,4.14,596.13,0.0772,0.0,-0.7,-0.08105935241734977,-0.09576649230594174,-0.12430128859596541
Now give me a six hundred dollars for,595.98,4.08,598.02,0.0,0.0,0.2,-0.08155878289464366,-0.0964485152361612,-0.12693170372364873
them six hundred dollars are you kidding,598.2,3.54,599.97,0.1027,0.0,-0.7,-0.0820765219267598,-0.09714748637045043,-0.12962170330548703
they're yours what are you doing pop,601.74,3.599,603.5395,0.0,0.0,0.4,-0.08303068422564094,-0.09841427233975539,-0.13448192680526025
after all the work we did bringing them,603.959,3.301,605.6094999999999,0.0,0.0,0.7,-0.08358781499312884,-0.09914118833696642,-0.1372620424342817
in you're giving them away the only that,605.339,5.361,608.0195000000001,0.34,0.0,-0.7,-0.08423995648555388,-0.09998018318047261,-0.14046274188001706
man wants to buy we sell,607.26,3.44,608.98,0.0,0.2,0.7,-0.08450091325954184,-0.10031233043828995,-0.14172745227452882
we're lucky to get stuff like this off,611.399,3.241,613.0195,0.6486,0.3333333333333333,0.5,-0.0856049106592782,-0.10169496715284033,-0.14697727133117103
out of money you pay a little for you,620.88,5.12,623.4399999999999,-0.1027,-0.1875,-0.7,-0.08850107831781126,-0.1051503756626193,-0.15999005859931148
little for me,623.22,2.78,624.61,0.0,-0.1875,0.4,-0.08883056657542197,-0.10552786974697331,-0.16140209527869073
My Han stillich then scratcher that's,634.019,6.38,637.2090000000001,0.0,0.0,0.3,-0.09243314432512814,-0.10944982834181242,-0.17595398157846123
all you get,637.74,2.659,639.0695000000001,0.0,0.0,0.5,-0.0929735323340406,-0.11000589746630728,-0.17799888967031524
all right Tony please you don't call me,647.12,4.719,649.4795,0.3182,0.2857142857142857,0.4,-0.09603653844149336,-0.11300077942497011,-0.188927057252397
bad name huh he's right you are a skin,649.38,5.579,652.1695,-0.5423,-0.207142857142857,-0.7,-0.09683882483169767,-0.11374140433441,-0.1916059427303864
Flint always you pinch pinch pinch pinch,651.839,4.68,654.1790000000001,0.0,0.0,-0.7,-0.09744102407639546,-0.11428544724048872,-0.1935673824071625
don't get the idea you're gonna get our,654.959,3.901,656.9095,0.0,0.0,-0.7,-0.09826320967365482,-0.11501184273284341,-0.19617748653894437
boat it belongs in a family if you don't,656.519,3.961,658.4995,0.0,0.0,0.4,-0.09874405151099384,-0.11542791781412891,-0.19766786434277223
pay it's going to belong in my family,658.86,4.58,661.15,-0.1027,0.0,0.7,-0.09954895880663592,-0.11611007826635744,-0.20010371070220778
do you see him so karate,765.42,4.7,767.77,0.0,0.0,0.3,-0.1332079419956339,-0.13239768048747907,-0.2531085784066222
to take your time with us,829.82,6.88,833.2600000000001,0.0,0.0,0.7,-0.15175696763810684,-0.13269804560889226,-0.2504674491031359
oh wait wait you're going to see next,966.019,4.241,968.1395,0.0,0.0,0.7,-0.17069241540864705,-0.11462479337749333,-0.1956689977533024
time we go out we're going to come home,968.699,3.901,970.6495,0.0,0.0,0.2,-0.17067944632595017,-0.11408854231552275,-0.19431488134935773
with a full load ah he's right,970.26,5.28,972.9,0.0,0.3178571428571428,0.7,-0.17065391262709018,-0.11360234638021394,-0.19309669240729743
where we're going we'll get a full dog,972.6,5.479,975.3395,0.0,0.35,0.6,-0.1706112438586348,-0.11306961266354412,-0.19177219992554673
full load of sponges what you mean you,978.079,4.661,980.4095,0.0,0.0187499999999999,0.3,-0.17047204616698272,-0.11194365070078699,-0.18900777792986234
you mean we're going to 12 my lift is,980.579,3.44,982.299,0.0,-0.3125,-0.7,-0.1704025097810889,-0.11151760476064214,-0.1879739947913641
