text,start,duration,time_midpoint,vader,textblob,llama3
all dressed up huh,6.12,4.68,8.46,0.0,0.0,0.4
new suit any good,8.4,4.5,10.65,0.4404,0.41818181818181815,0.6
yeah looks well,10.8,4.799,13.1995,0.5106,0.0,0.7
granny huh yeah,12.9,5.82,15.81,0.296,0.0,0.3
when does the train get in oh I got time,15.599,4.68,17.939,0.0,0.0,0.3
fell asleep already this morning and I,22.08,4.92,24.54,0.0,0.0,-0.7
let it yeah I know I heard a crying,23.699,7.041,27.219500000000004,-0.2263,-0.2,-0.7
yeah she cried hard all right,27.0,3.74,28.87,-0.2023,-0.0029761904761904934,-0.8
Dad we made a terrible mistake with her,30.779,3.421,32.4895,-0.6705,-1.0,-0.7
somehow she's got to be made to,32.579,3.721,34.4395,0.0,0.0,-0.8
understand that Larry's dead it's insane,34.2,3.78,36.09,-0.7906,-0.6,-0.7
what she's doing,36.3,5.34,38.97,0.0,0.0,0.4
she might hear us dead walk over the,37.98,6.739,41.3495,-0.6486,-0.2,-0.7
garage and they want to talk to you,41.64,3.079,43.1795,0.0772,0.0,0.4
my guess is we'll get that stuff out of,45.0,3.12,46.56,0.0,0.0,-0.5
your mind because you'll never convince,46.92,3.42,48.63,-0.1877,0.0,-0.7
her but three years nobody comes back,48.12,3.779,50.0095,0.0,0.0,-0.7
after three years well you can talk,50.34,3.0,51.84,0.2732,0.0,0.2
yourself low in the face but there's no,51.899,3.121,53.4595,-0.5187,0.0,0.3
body and there's no grave it was,53.34,3.539,55.1095,0.2924,0.0,0.4
reported missing that's all so where are,55.02,3.179,56.6095,-0.296,-0.2,-0.7
you just have to look at the newspapers,58.199,4.321,60.3595,0.0,0.0,0.2
every month some boy turns up somewhere,60.18,6.299,63.3295,0.0,0.0,0.3
so the next one is going to be Larry,62.52,5.34,65.19,0.0,0.0,0.3
I'm going to ask hand to marry me,67.86,3.56,69.64,0.4939,0.0,0.8
well Annie is Larry's girl she was,72.78,4.32,74.94,0.2732,0.0,0.3
engaged to marry him she's not Larry's,75.06,3.419,76.76950000000001,0.4019,0.0,0.8
girl how can she be Larry's girl when,77.1,3.48,78.83999999999999,0.0,0.0,0.4
Larry's dead,78.479,4.021,80.48949999999999,-0.6486,-0.2,-0.8
but from Mother's point of view he's not,80.58,3.66,82.41,0.0,0.0,0.3
dead and you have no right to take his,82.5,3.119,84.0595,-0.7579,-0.17142857142857143,-0.8
the world's full of girls and you pick,85.619,3.481,87.3595,0.0,0.35,0.7
out Annie I happen to be in love with,87.119,3.781,89.0095,0.6369,0.5,0.6
