text,start,duration,time_midpoint,vader,textblob,llama3
sorry you're Excellency I'll have to,103.2,3.3,104.85,0.4939,-0.5,-0.7
verify your appointment before I can,105.06,3.96,107.04,0.0,0.0,-0.7
pass you through,106.5,4.94,108.97,0.0,0.0,0.4
you'll have to pull off,109.02,7.7,112.87,0.0,0.0,0.4
morning Mary did you save me a parking,116.72,4.24,118.84,0.4939,0.0,0.4
space right at the head of the line,119.34,2.87,120.775,0.0,0.2857142857142857,0.5
good morning officer just a moment,131.22,6.72,134.58,0.4404,0.7,0.4
where do you think you're going toward,134.64,5.52,137.39999999999998,0.0,0.0,0.2
s employees use the West Executive,137.94,3.78,139.82999999999998,0.0,0.0,0.4
Avenue entrance oh but I always come in,140.16,3.78,142.04999999999998,0.0,0.0,0.3
this way yes but beginning today you're,141.72,4.44,143.94,0.2144,0.0,0.2
an employee and employees use the,143.94,3.78,145.82999999999998,0.0,0.0,0.2
employee's entrance you know officer I,146.16,3.0,147.66,0.0,0.0,0.4
have a lot of influence my father's,147.72,3.06,149.25,0.0,0.0,0.5
quite a big shot around here young lady,149.16,5.159,151.7395,0.0,0.05,0.6
rules our rules and no exceptions good,150.78,5.459,153.5095,-0.5583,0.7,0.8
morning Mary oh good morning Harkey,154.319,3.961,156.2995,0.4404,0.7,0.6
having trouble Tim a little,156.239,3.781,158.1295,-0.4019,-0.19375,0.3
I wish you'd give the new girls in your,158.28,3.599,160.0795,0.4019,0.13636363636363635,0.4
department a rundown on the rules around,160.02,4.32,162.18,0.0,0.0,0.2
here with you for a father I'm sure this,161.879,3.961,163.8595,0.3182,0.5,0.7
one knows them backwards dad you're in a,164.34,3.3,165.99,0.0,0.0,0.7
rut what you need is a change of climate,165.84,3.3,167.49,0.0,0.0,-0.7
now why don't you try a few weeks at the,167.64,3.66,169.47,0.0,-0.2,-0.5
South End young lady yeah see you for,169.14,3.48,170.88,0.296,0.1,0.7
dinner dad,171.3,3.48,173.04000000000002,0.0,0.0,0.4
marry my new girls usually get an,172.62,4.02,174.63,0.0,-0.05681818181818182,0.4
indoctrination speech almost as long as,174.78,3.84,176.7,0.0,-0.05,-0.7
a Congressional Record must we hearty,176.64,3.84,178.55999999999997,0.0,0.0,0.6
glory be no after a couple of years at,178.62,3.479,180.3595,0.3182,0.0,0.3
the Supreme Court I'm sure you know the,180.48,3.36,182.16,0.7096,0.5,0.3
duties and responsibilities of the job,182.099,3.661,183.9295,0.0,0.0,0.2
there's one thing I must stress though,183.84,3.78,185.73,-0.4215,0.0,0.7
that's the need for absolute secrecy,185.76,4.619,188.0695,0.0,0.2,0.2
anything you might overhear is a solemn,187.62,5.28,190.26,-0.0772,0.0,0.4
trust I understand I'm waiting for you,190.379,4.44,192.599,0.5106,0.0,0.7
immediately I'm sorry sorry it hasn't,192.9,3.54,194.67,-0.1531,-0.5,-0.7
returned well here she is girl the,194.819,3.901,196.7695,0.2732,0.0,0.4
exports of the Supreme Court hi welcome,196.44,4.26,198.57,0.765,0.8,0.4
to the family hello Mary pull up a,198.72,3.78,200.61,0.0,0.0,0.2
switchboard and sit down thanks Mike yes,200.7,2.7,202.05,0.6808,0.022222222222222213,0.4
I don't think I have much trouble hockey,203.4,4.44,205.62,-0.4019,-0.2,0.3
the boards are the same general type,206.28,3.78,208.17,0.0,0.02500000000000001,0.2
I've been using except that here more is,207.84,3.84,209.76,0.0,0.5,0.2
expected of you than merely handling the,210.06,4.02,212.07,0.0,-0.3,0.3
switchboard besides memorizing hundreds,211.68,3.479,213.4195,0.0,0.0,0.4
of numbers you've got to be a,214.08,3.299,215.7295,0.0,0.0,0.7
combination Diplomat and detective ready,215.159,3.961,217.1395,0.3612,0.2,0.3
to decide instantly which calls are,217.379,3.301,219.0295,0.0,0.0,0.3
legitimate and which are from cranks,219.12,4.259,221.2495,0.0,0.0,0.4
Senator Downs is an istanbu so I try to,220.68,4.559,222.9595,0.0,0.0,0.2
get him for you sir you have to locate,223.379,3.78,225.269,0.0,0.0,0.6
people in all parts of the world some,225.239,3.36,226.919,0.0,0.0,0.6
who haven't been heard from in years and,227.159,3.481,228.8995,0.0,0.0,-0.7
often under almost impossible conditions,228.599,4.081,230.6395,0.0,-0.6666666666666666,0.4
White House,230.64,5.239,233.2595,0.0,0.0,0.5
one moment sir,232.68,3.199,234.2795,0.0,0.0,0.4
what did I tell him this time I run out,236.959,4.541,239.2295,0.0,0.0,-0.5
of polite phrases for go jump in the,239.58,4.5,241.83,0.0,0.0,-0.7
lake Kelly no Mary you might as well,241.5,4.86,243.93,-0.0258,0.0,0.3
start now is later there's a Mr Paxton,244.08,4.019,246.0895,0.0,0.0,-0.7
on the line he's been pestering us for,246.36,2.879,247.7995,0.0,0.0,0.2
days trying to get through to the,248.099,3.06,249.629,0.0,0.0,-0.7
president we've instructions to kill his,249.239,3.541,251.0095,-0.6908,0.0,-0.8
call at the board but he takes a lot of,251.159,3.66,252.989,0.0,0.0,0.4
killing well I I know go ahead now let's,252.78,4.26,254.91,-0.5106,0.0,0.3
see what sort of a diplomat you are it's,254.819,5.241,257.4395,0.0,0.0,-0.7
all yours White House,257.04,3.02,258.55,0.0,0.0,0.8
White House may I help you please,263.94,4.979,266.4295,0.6124,0.0,0.4
well isn't there someone besides the,266.96,4.06,268.98999999999995,0.2732,0.0,-0.7
president who can take care of it thank,268.919,3.741,270.7895,0.6908,0.0,0.7
may I inquire the nature of your,272.66,4.44,274.88000000000005,0.0,0.0,0.3
oh but I'm sure that they have a fish,278.4,4.32,280.56,0.4497,0.5,0.3
market where they trade Mr Paxton my,280.5,4.86,282.93,0.0,0.0,0.4
dear lady I don't sell fish I study them,282.72,5.12,285.28000000000003,0.3818,0.0,0.7
I'm an ichthyologist oh an ichthyologist,285.36,4.74,287.73,0.0,0.0,0.6
but may I suggest that you communicate,287.84,3.82,289.75,0.0,0.0,0.2
with the fish and wildlife section of,290.1,4.68,292.44,0.0,0.0,0.3
the Department of the Interior sorry,291.66,4.62,293.97,-0.0772,-0.5,0.3
sorry now why would a man get so upset,294.78,5.18,297.36999999999995,-0.567,-0.5,-0.7
about fish maybe they're spoiling why,296.28,3.68,298.11999999999995,0.0,0.0,0.3
White House,301.259,2.521,302.5195,0.0,0.0,0.5
yes please,302.52,4.02,304.53,0.6124,0.0,0.7
no Mr Paxton I did not catch you on look,303.78,6.0,306.78,-0.296,0.0,-0.7
Miss every year like a clock I pay my,306.54,6.12,309.6,0.128,0.0,-0.7
taxes I'm a citizen in good standing and,309.78,4.44,312.0,0.4404,0.7,0.3
the president is supposed to be a,312.66,3.479,314.39950000000005,0.0,0.0,0.2
servant of the people oh I know that the,314.22,3.12,315.78000000000003,0.0,0.0,0.4
president is the servant of the people,316.139,3.601,317.9395,0.0,0.0,0.4
and if he's a servant of the people he's,317.34,3.9,319.29,0.0,0.0,0.7
supposed to be available when the people,319.74,3.54,321.51,0.0,0.4,0.3
need him well,321.24,4.679,323.5795,0.2732,0.0,-0.7
I'm one of the people now will you,323.28,5.94,326.25,0.0,0.0,0.2
please put my call through well um why,325.919,4.201,328.0195,0.5267,0.0,0.2
don't you try writing to your,329.22,2.759,330.59950000000003,0.0,0.0,0.2
congressman,330.12,4.98,332.61,0.0,0.0,-0.7
oh why how well there must be someone,331.979,4.5,334.229,0.2732,0.0,0.4
who can help you without bothering the,335.1,3.96,337.08000000000004,0.5972,0.0,-0.7
president well the governor is not he,336.479,3.961,338.4595,0.2732,0.0,0.4
says he has more nickels than the slot,339.06,2.46,340.29,0.0,0.5,0.3
machine and he's going to get through to,340.44,3.18,342.03,0.0,0.0,0.4
the president if he goes broke trying I,341.52,3.179,343.1095,-0.4215,0.0,-0.7
think he should be reported to the,343.62,2.579,344.9095,0.0,0.0,0.5
Secret Service there's no law against,344.699,4.141,346.7695,-0.296,-0.4,-0.7
phoning the president,346.199,4.44,348.41900000000004,0.0,0.0,0.4
I'll get rid of that guppy grower once,348.84,4.62,351.15,0.0,0.0,-0.7
and for all Mary no not that one why not,350.639,5.041,353.15950000000004,-0.296,0.0,-0.7
this morning's flight,353.46,4.679,355.7995,0.0,0.0,0.4
good morning Mr President ready on your,355.68,4.2,357.78000000000003,0.6597,0.44999999999999996,0.7
calls yes Mr President London will call,358.139,3.78,360.029,0.4019,0.0,0.2
back at 10 15.,359.88,3.96,361.86,0.0,0.0,0.6
you're welcome Mr President,361.919,3.661,363.7495,0.4588,0.8,0.7
good morning this is the president's,363.84,3.96,365.82,0.4404,0.7,0.6
private extension because he may call on,365.58,4.92,368.04,0.0,0.0,0.4
any one of the other 185 but when that,367.8,4.86,370.23,0.0,-0.125,0.4
little light goes on it's always the,370.5,4.8,372.9,0.0,0.10625000000000001,0.5
president I see call for you Mary on,372.66,4.74,375.03,0.0,0.0,0.4
trunk five Justice Hastings of the,375.3,4.98,377.79,0.5267,0.0,0.4
Supreme Court oh here comes a descending,377.4,5.16,379.98,0.5574,0.0,-0.7
hello Justice Hastings Mary what's my,382.56,4.02,384.57,0.5267,0.0,0.4
daughter's phone number in Texas what,384.96,3.359,386.6395,0.0772,0.0,0.2
time do I take my pills and what the,386.58,4.5,388.83,0.0,0.0,0.2
devil are you doing over there how 318,388.319,5.16,390.899,-0.6597,0.0,0.4
ring two the white pills at 11 the brown,391.08,3.959,393.0595,0.0,0.0,0.2
pills at four and I'm working on the,393.479,3.72,395.339,0.0,0.0,0.4
switchboard that's what I heard and it,395.039,3.901,396.9895,0.0,0.0,0.2
doesn't make much sense you walked out,397.199,3.78,399.089,0.0,0.2,-0.7
on the switchboard to marry Philip now I,398.94,3.18,400.53,0.0,0.0,0.4
learned you've walked out on marrying,400.979,2.521,402.2395,0.0,0.0,-0.7
Philip to go back to a switchboard,402.12,5.359,404.7995,0.0,0.0,0.4
that's idiotic even for young people,403.5,6.72,406.86,-0.5574,-0.2833333333333333,-0.8
can't we talk about it later I can meet,407.479,4.0,409.479,0.0,0.0,0.4
you at Gustav's dad and I are having,410.22,2.819,411.6295,0.0,0.0,0.3
dinner there,411.479,4.22,413.589,0.0,0.0,0.4
goodbye Justice Hastings,413.039,4.861,415.4695,0.5267,0.0,-0.7
Matt sweet of him he just wanted to call,415.699,4.241,417.8195,0.4588,0.35,0.7
and wish me luck Mary you did give them,417.9,4.2,420.0,0.6908,0.0,0.4
notice when you left the Supreme Court I,419.94,3.599,421.7395,0.5574,0.0,0.4
wouldn't want them to think I lured you,422.1,4.26,424.23,-0.0572,0.0,-0.7
away oh it's nothing like that Mary for,423.539,5.641,426.3595,-0.2755,0.0,0.4
you justice Peabody on five White House,426.36,5.04,428.88,0.5267,0.0,0.7
yes please one moment please yes I'll,429.18,4.5,431.43,0.8402,0.0,0.7
take care of it right away,431.4,5.16,433.98,0.4939,0.2857142857142857,0.7
hello Justice Peabody Mary,433.68,5.04,436.2,0.5267,0.0,0.4
your decision not to marry Philip is,436.56,4.259,438.6895,0.0,0.0,0.8
your own business and I'd be the last,438.72,3.84,440.64,0.0,0.3,-0.7
one to interfere thank you justice,440.819,3.361,442.4995,0.7096,0.0,0.7
Peabody it was very nice of you to call,442.56,4.02,444.57,0.4754,0.78,0.6
to tell me so but clarification of a,444.18,4.98,446.67,0.0,0.0,0.2
misunderstanding is not interference and,446.58,4.32,448.74,-0.4215,0.0,0.2
I happen to know that Philip's,449.16,3.24,450.78,0.0,0.0,0.6
explanation of what happened the other,450.9,4.019,452.9095,0.0,-0.125,0.2
evening is the absolute truth it's no,452.4,3.84,454.32,0.0258,0.2,-0.7
use your honor I've been through all,454.919,3.541,456.6895,0.4939,0.0,0.7
that now just let me handle this Philip,456.24,4.679,458.5795,0.0,0.0,0.4
that Wentworth girl is a witness in an,458.46,4.44,460.68,0.0,0.0,0.4
important government case and Philip was,460.919,4.5,463.169,0.2023,0.4,0.4
out with her strictly in his capacity as,462.9,3.98,464.89,0.0,0.0,0.2
an attorney for the justice department,465.419,4.021,467.4295,0.5267,0.0,0.4
Justice Peabody the fact that Philip was,466.88,4.12,468.94,0.5267,0.0,0.4
out with Miss Wentworth is immaterial,469.44,3.3,471.09,-0.1531,0.0,0.2
irrelevant and has no bearing on the,471.0,3.479,472.7395,-0.296,-0.5,-0.7
case I'm still not getting married get,472.74,3.66,474.57,0.0,0.25,-0.5
the new number for you sir,474.479,3.78,476.369,0.0772,0.13636363636363635,0.4
I know but,476.4,3.6,478.2,0.0,0.0,-0.5
please give that Mr Justice can't we,480.0,3.3,481.65,0.6908,0.0,0.3
discuss it some other time,481.5,4.74,483.87,0.0,-0.125,0.2
please tonight at Gustav's Goodbye Mary,483.3,4.619,485.6095,0.3182,0.0,0.4
but we have no record of anything I'm,486.24,3.66,488.07,-0.4215,0.0,-0.7
afraid there's one point I overlooked,487.919,4.761,490.2995,-0.0258,-0.6,-0.7
White House operators are always on call,489.9,5.22,492.51,0.0,0.0,0.6
therefore it's a matter of practice we,492.68,4.959,495.1595,0.0258,0.0,0.3
never hire young married women so if,495.12,4.079,497.1595,0.0,0.175,-0.7
there's any possibility of your getting,497.639,3.361,499.3195,0.0,0.0,-0.7
married in the near future oh but there,499.199,3.361,500.8795,0.0,0.11666666666666665,-0.7
isn't I'm sure everyone's convinced of,501.0,3.66,502.83,0.1872,0.5,0.2
that by now well it didn't sound that,502.56,4.5,504.81,0.2732,0.4,-0.5
way believe me Harkey that's the last,504.66,4.74,507.03,0.0,0.0,0.4
we'll hear of it Mary for you justice,507.06,4.02,509.07,0.5267,0.0,-0.7
sorry to interrupt Senator but your wife,511.08,3.839,512.9995,-0.2144,-0.5,0.4
is on the line,513.18,3.719,515.0395,0.0,0.0,-0.7
rules are rules and we're not supposed,514.919,3.781,516.8095,0.0,0.0,0.2
to receive any personal calls that's all,516.899,3.721,518.7595,0.0,0.0,-0.7
I received all day it's one of my first,518.7,4.38,520.8900000000001,0.0,0.25,0.7
day at the White House wasn't my last,520.62,4.8,523.02,0.0,0.0,0.4
oh fine now we're back to the hiccups,523.08,4.14,525.1500000000001,0.2023,0.20833333333333334,0.3
again I thought you were all calm down,525.42,3.78,527.31,0.3182,0.07222222222222223,-0.7
I'm perfect to come and when we get,527.22,4.619,529.5295,0.5719,1.0,0.6
inside I'll be even calm sure you will,529.2,4.68,531.5400000000001,0.5574,0.4,0.7
I'll hold it Dad see if Phillip's in,531.839,4.161,533.9195000000001,0.0,0.0,0.4
he's there you know what,540.08,4.9,542.5300000000001,0.0,0.0,0.3
let's just wait a few seconds to be sure,542.94,3.959,544.9195000000001,0.3182,0.15,0.3
there are no more stray hiccups,544.98,3.24,546.6,-0.296,-0.25,0.3
knows I only get them when I'm,546.899,2.521,548.1595,0.0,0.0,0.4
emotionally upset and I don't want him,548.22,4.46,550.45,-0.4257,0.0,-0.7
to think I'm upset on account of him,549.42,3.26,551.05,-0.3818,0.0,-0.7
stop worrying Gustav the examination is,554.82,5.579,557.6095,-0.5574,0.0,0.4
quite simple thousands of people have,558.42,4.26,560.55,0.0,0.0,0.2
passed it and you've still got four days,560.399,4.201,562.4995,0.0,0.0,0.4
I know you're on a ship but just to,562.68,3.54,564.4499999999999,0.0,0.0,0.4
answer the questions that's not enough,564.6,3.299,566.2495,0.0,0.0,-0.7
for me I I would like to know everything,566.22,3.6,568.02,0.3612,0.0,0.8
about becoming a citizen it's my,567.899,5.221,570.5095,0.0,0.45,0.7
ambition uh where are we section 7,569.82,5.94,572.7900000000001,0.0,0.0,0.2
article two oh when the bill shall have,573.12,4.08,575.16,0.0,0.0,0.6
passed the Senate and the House of,575.76,3.48,577.5,0.0,0.0,0.5
Representatives it shall before it,577.2,5.16,579.7800000000001,0.0,0.0,0.4
becomes a law be presented to,579.24,4.92,581.7,0.0,0.0,0.2
the president of the United States,582.36,3.539,584.1295,0.4215,0.0,0.4
Justice Peabody,584.16,4.32,586.3199999999999,0.5267,0.0,0.6
if he approves it he shall sign it,585.899,4.56,588.179,0.4019,0.0,0.5
justice Williams but if not he shall,588.48,4.14,590.5500000000001,0.296,0.0,0.6
return it justice Hastings with what,590.459,4.261,592.5894999999999,0.5267,0.0,0.4
with his objections Justice van Sloan,592.62,4.68,594.96,0.5267,0.0,0.2
where to to the house where it,594.72,4.26,596.85,0.0,0.0,0.2
originated Justice Mannings I mean,597.3,5.36,599.9799999999999,0.5267,-0.3125,0.3
Justice I mean Phillip,598.98,3.68,600.82,0.5267,-0.3125,0.3
perfect score good stuff would you like,602.82,4.22,604.9300000000001,0.8442,0.85,0.8
to try for devil,604.56,4.92,607.02,-0.6597,0.0,-0.7
well how's my favorite future citizen,607.04,4.419,609.2495,0.6249,0.25,0.7
this evening and my favorite four nights,609.48,4.74,611.85,0.4588,0.5,0.6
of the Supreme Court don't irate hello,611.459,6.781,614.8494999999999,0.7748,0.0,0.2
of course Philip how are you Mary after,614.22,5.46,616.95,0.0,0.0,0.4
you had your dinner we'd like to have,618.24,2.94,619.71,0.3612,0.0,0.4
that little talk with you,619.68,4.14,621.75,0.0,-0.1875,0.7
oh Mr Justice I know what you want to,621.18,4.08,623.2199999999999,0.5719,0.0,-0.7
say and I know it's because you want to,623.82,2.4,625.0200000000001,0.0772,0.0,0.5
you've always held,626.22,3.179,627.8095000000001,0.0,0.0,0.4
all of you,628.019,3.241,629.6395,0.0,0.0,0.7
but this time I have to make my own,629.399,3.541,631.1695,0.0,0.6,0.5
decision and I'm not going to marry,631.26,4.5,633.51,0.0,0.0,-0.7
Philip but Mary something smells good,632.94,5.22,635.5500000000001,0.5927,0.7,0.6
what is it Gustav hasn't said my,635.76,3.84,637.68,0.0,0.0,0.2
specialty I think I'll go and see if it,638.16,4.38,640.35,0.0,0.0,0.2
looks as good as it smells,639.6,4.799,641.9995,0.4404,0.7,0.4
well Philip you might as well tear up,642.54,4.859,644.9694999999999,0.4939,0.0,-0.7
the license oh no I'm going in there and,644.399,4.68,646.739,-0.296,0.0,-0.7
get this straightened out right now wait,647.399,3.241,649.0195,0.0,0.2857142857142857,-0.7
Philly first you must be in the right,649.079,5.7,651.929,0.0,0.26785714285714285,0.6
mood let me handle it I know Mary,650.64,7.319,654.2995,0.0,0.0,0.7
wow looks like Mary Gustav and I will,654.779,6.24,657.899,0.743,0.1,0.9
make a very happy couple,657.959,5.521,660.7194999999999,0.6115,1.0,0.7
is amusing something romantic how about,661.019,4.201,663.1195,0.6486,0.3,0.4
the charter oh that's Happy romantic,663.48,4.979,665.9695,0.7506,0.4,0.7
something sad romantic Ivan the violent,665.22,5.82,668.13,-0.6486,-0.43333333333333335,-0.7
should cry,668.459,5.641,671.2795,-0.4767,0.0,-0.7
what's that going to Bratton with spazzo,671.04,6.299,674.1895,0.0,0.0,0.4
extra good today Miss Mary I put a lot,674.1,5.34,676.77,0.3182,0.35,0.8
of love into it that's for Dad and me,677.339,4.021,679.3495,0.6369,0.5,0.7
you are not going to have the house and,679.44,3.48,681.1800000000001,0.0,0.0,-0.7
FIFA Allah good stuff I made it,681.36,3.479,683.0995,0.4404,0.7,0.7
especially for the judges and you oh,682.92,3.599,684.7194999999999,0.0,0.0,0.6
well I would they better stick to my,684.839,3.781,686.7295,0.6124,0.5,-0.7
guns perhaps Miss Barry he put too much,686.519,4.681,688.8595,-0.1531,0.2,-0.7
fever in the Hassan fever Doom favor,688.62,5.339,691.2895,0.0,0.0,0.5
just enough too much I said just enough,691.2,4.92,693.6600000000001,0.0,0.06666666666666667,0.4
now listen brother who is Viennese here,693.959,4.741,696.3294999999999,0.0,0.0,0.4
you or I Gustav we'll have a little,696.12,5.1,698.67,0.0,-0.1875,0.7
oh that's beautiful yeah that's what,701.22,4.02,703.23,0.7269,0.85,0.7
Justice Peabody's birthday party,703.8,3.42,705.51,0.7269,0.0,0.7
tomorrow night but never going to party,705.24,3.599,707.0395,-0.438,0.0,-0.8
I can't stand to see you so unhappy what,708.839,4.021,710.8495,-0.5598,-0.6,-0.7
