text,start,duration,time_midpoint,vader,textblob,llama3
well here we are i turned down here at,99.759,3.36,101.439,0.2732,-0.15555555555555559,0.2
the next block,101.68,5.439,104.3995,-0.4404,0.0,0.7
thanks mister i'll get off there,103.119,4.0,105.119,0.4404,0.2,0.2
want anything else,111.92,2.879,113.3595,0.0772,0.0,-0.7
me yeah you it's where you're heading,119.119,4.351,121.2945,0.296,0.0,0.3
i thought if you was head north i might,125.84,2.88,127.28,0.0,0.0,0.4
be able to help you out,127.119,3.041,128.6395,0.4019,0.5,-0.7
i push in the soul lake and i don't like,128.72,3.36,130.4,-0.2755,0.0,-0.7
to ride it alone at night i'm one of,130.16,3.52,131.92,-0.25,0.0,0.7
those guys that got to talk or i fall,132.08,4.08,134.12,0.0,0.0,-0.7
asleep oh sure,133.68,3.84,135.6,0.3182,0.5,0.2
apparently he's got lou to keep him,136.16,2.4,137.36,0.0,0.05,0.3
coming but,137.52,2.88,138.96,0.0,0.0,0.2
i ain't got nobody at all,138.56,4.96,141.04,0.0,0.0,-0.7
where you coming from west yeah sure i,140.4,4.0,142.4,0.5423,0.5,0.3
maybe got a cousin out nearly you don't,145.84,5.679,148.6795,0.0,0.1,-0.7
say yeah he's been up,148.56,4.48,150.8,0.296,0.0,0.7
you're not much of a talker are you my,151.519,2.641,152.83950000000002,0.0,-0.1,-0.7
mother taught me never to speak to,153.04,4.479,155.27949999999998,0.0,0.0,-0.7
strangers oh wise guys so what okay okay,154.16,5.2,156.76,0.7537,0.5666666666666667,0.2
don't get sore he's trying to be,157.519,4.72,159.87900000000002,0.2755,0.0,0.3
sociable that's all,159.36,4.4,161.56,0.4404,0.0,0.7
hey glamorous,162.239,5.481,164.9795,0.5106,0.0,0.7
you change for a dime will you,163.76,3.96,165.73999999999998,0.0,0.0,0.3
let's have something quieter this time,175.2,3.36,176.88,0.0,0.0,0.4
joe my head's splitting is that what's,176.8,4.24,178.92000000000002,0.0,0.0,-0.7
wrong with it,178.56,2.48,179.8,-0.4767,-0.5,-0.7
done with your coffee no and don't rush,182.64,3.86,184.57,-0.296,0.0,0.3
me will you,185.599,7.86,189.529,0.0,0.0,0.5
hey turn that off will you turn that,193.599,3.201,195.1995,0.0,0.0,0.2
thing off what's eating you now yeah,195.04,3.44,196.76,0.296,0.0,0.3
what's eating you that music it stinks,196.8,3.519,198.5595,-0.25,-0.6,-0.7
oh you don't like it huh no turn it off,198.48,4.0,200.48,-0.5122,0.0,-0.7
oh wait a minute pal that was my [ __ ],200.319,2.961,201.7995,0.0,0.0,0.5
this is a free country,203.28,4.8,205.68,0.5106,0.4,0.7
and i play whatever i wanted,204.879,3.201,206.4795,0.34,0.0,0.8
sure and if you don't like it you don't,209.28,2.64,210.6,0.049,0.5,0.2
have to listen to it and you can leave,210.64,3.679,212.4795,-0.0516,0.0,0.5
here anytime you want it okay okay i'm,211.92,4.16,214.0,0.4767,0.5,0.4
sorry i asked first good piece play,214.319,3.601,216.1195,0.6124,0.15,0.4
tonight you don't like it some people,216.08,4.66,218.41000000000005,-0.2755,0.0,-0.7
just ain't got any good taste,217.92,14.469,225.1545,-0.3412,0.7,-0.7
why was there always that rotten tune,234.4,4.16,236.48,-0.5106,0.0,-0.7
following me around beating in my head,236.879,4.961,239.3595,-0.4588,0.0,-0.7
never letting up,238.56,3.28,240.2,0.0,0.0,0.7
did you ever want to forget anything,243.76,3.679,245.5995,-0.1531,0.0,-0.7
did you ever want to cut away a piece of,245.92,3.519,247.6795,-0.2023,0.0,-0.7
your memory or blood out,247.439,3.44,249.159,0.0,0.0,-0.7
you can't you know,249.439,3.52,251.199,0.0,0.0,-0.5
no matter how hard you try,250.879,4.0,252.879,-0.1215,-0.2916666666666667,0.6
you can change the scenery,252.959,3.52,254.719,0.0,0.0,-0.7
but sooner or later you'll get a whiff,254.879,2.961,256.3595,0.0,0.0,0.2
of perfume where somebody will say a,256.479,3.76,258.359,0.0,0.0,0.4
certain phrase or maybe hum something,257.84,5.519,260.5995,0.2732,0.21428571428571427,0.4
then you licked again,260.239,3.12,261.799,0.0,0.0,-0.7
i can't believe that you're in love with,263.84,2.639,265.1595,0.6369,0.5,0.7
i used to love that song once,266.479,3.361,268.1595,0.6369,0.5,-0.4
so did the customers back in the old,268.479,3.601,270.2795,0.0,0.05,0.2
break at dawn club in new york,269.84,3.6,271.64,0.0,0.13636363636363635,0.5
i can't remember a night when i didn't,272.08,4.0,274.08,0.0,0.0,0.5
get at least three requests for it,273.44,4.0,275.44,0.0,-0.3,-0.7
she was always selling it too,277.44,5.1,279.99,0.0,0.0,0.7
those were the days,279.759,26.27,292.894,0.0,0.0,-0.7
your eyes are blue your kiss is too i,306.56,6.16,309.64,0.4215,0.0,0.8
never knew what they could do,310.16,5.68,313.0,0.0,0.0,0.4
i can't believe that you're in love with,312.72,3.93,314.685,0.6369,0.5,0.4
