text,start,duration,time_midpoint
hello where's my white scarf right here,134.599,4.881,137.03949999999998
why don't you keep my things where I can,138.08,3.68,139.92000000000002
them see who that is yes Miss,143.12,4.36,145.3
it was a messenger,171.8,4.12,173.86
boy if that's all I'll be right back,173.28,4.52,175.54
after the last show put on some soft,175.92,5.039,178.43949999999998
music before you go have a good time,177.8,5.4,180.5
you must you play that song but you sing,203.159,4.241,205.27949999999998
it so beautifully on the record Miss,206.04,3.24,207.66
Marlo when I want your opinion I'll ask,207.4,4.36,209.58
you for it,209.28,2.48,210.52
Norman this is Miss Marlo oh yes Miss,230.04,5.16,232.62
Marlo if Mr blam's here tonight I don't,232.959,5.041,235.4795
wish to see him now or ever I'll take,235.2,3.52,236.95999999999998
of who did you wish to see please miss,238.72,6.64,242.04
Marlo tell her Martin Blair I'm Sorry,241.799,4.881,244.23950000000002
Miss Marlo left instructions she doesn't,245.36,3.64,247.18
want to see,246.68,8.32,250.84
you she'll see me she's my wife it's our,249.0,7.799,252.8995
anniversary that isn't what she just,255.0,5.12,257.56
told me she doesn't want to see you now,256.799,5.56,259.57899999999995
ever I don't blame me I just work here,265.24,6.48,268.48
on good evening sir Maro she's expecting,279.4,6.359,282.5795
looks like your friend's headed for a be,335.56,5.56,338.34
this time yeah thanks for calling,337.759,4.681,340.09950000000003
thought for a minute that ambulance,341.12,3.799,343.0195
might have been for him he ain't that,342.44,7.72,346.3
bad yet I better get him over at the,344.919,8.4,349.11899999999997
hotel why do you bother with a stew like,350.16,6.8,353.56
that I kind of like the guy that's,353.319,8.32,357.47900000000004
all he sure can play a piano,356.96,4.679,359.29949999999997
Marty hello Joe come on,387.28,4.919,389.73949999999996
Marty I'm all right I'm all right yeah,397.639,5.721,400.4995
yeah all right all,409.44,3.68,411.28
right what is it anyhow that Marlo woman,416.08,5.44,418.8
why don't you get wise yourself Marty,421.599,3.6,423.399
and forget about her were you ever in,423.36,4.84,425.78000000000003
love yeah yeah yeah,425.199,19.711,435.0545
when as he going to learn you can't,462.84,3.68,464.67999999999995
drink it as fast as they make,464.4,6.199,467.49949999999995
it well it's his,466.52,4.079,468.55949999999996
heart that's what you get when you set,500.68,6.519,503.9395
hard I gave the,507.199,4.241,509.3195
love and you,517.719,2.841,519.1395
learn maybe I learn the way or maybe,520.64,10.319,525.7995
soon with hard bra,536.0,11.58,541.79
your so what do,565.12,5.38,567.8100000000001
Bennett you Mrs Bennett yes your husband,728.6,9.12,733.16
at home no but I expect him any minute,733.079,7.241,736.6995
mind if we come,737.72,2.6,739.02
in what is this what do you want,746.76,5.04,749.28
any idea where your husband might be Mrs,750.0,4.32,752.16
Bennett what does this mean who are you,751.8,3.719,753.6595
we're from the,754.32,3.8,756.22
police has anything,755.519,4.841,757.9395
happen he's been,758.12,4.68,760.46
hurt there's been an accident take it,760.36,5.24,762.98
easy Mrs Bennett there's been no,762.8,5.08,765.3399999999999
accident well then what is it my husband,765.6,4.679,767.9395000000001
said he had some business to attend to,767.88,3.72,769.74
I'm captain,770.279,3.721,772.1395
flood homicide,771.6,6.28,774.74
division homicide there's been a murder,774.0,6.29,777.145
Woman by the name of Marlo,777.88,5.549,780.6545
that was the business your husband was,783.8,2.21,784.905
no yeah he was,793.16,6.08,796.1999999999999
there the maid saw him and recognized,795.639,6.341,798.8095
him he was trying to get away,799.24,5.599,802.0395
unobserved and he'd been there before,804.839,3.281,806.4795
KCK didn't do it I admire your loyalty,811.639,5.041,814.1595
but we've been waiting for you Bennett,821.04,5.4,823.74
I've been walking the streets I was,824.12,5.48,826.86
going to phone you sure now we're going,826.44,6.16,829.5200000000001
down to headquarters for a,829.6,3.0,831.1
talk why didn't you use this you're,835.0,6.04,838.02
sensitive to loud noise,838.199,2.841,839.6194999999999
is amm I didn't kill her then you got,842.56,7.76,846.4399999999999
nothing to worry about shall we go kick,846.399,7.281,850.0395
don't worry I can explain everything,850.32,5.8,853.22
still if I were you Mrs Bennett I'd get,853.68,5.04,856.1999999999999
myself a good,856.12,2.6,857.42
lawyer she was blackmailing you wasn't,867.759,4.801,870.1595
she all right she was blackmailing me I,870.079,4.44,872.299
I told you that you might as well admit,872.56,4.12,874.6199999999999
the rest then wouldn't let you off the,874.519,4.56,876.799
hook would she I didn't kill her that,876.68,4.64,879.0
record she was playing,879.079,4.241,881.1995
heartbreak must have meant a lot to you,881.32,4.0,883.32
once I never heard the thing before,883.32,3.56,885.1
funny she was playing it for you she,885.32,4.4,887.5200000000001
wasn't playing it for,886.88,2.84,888.3
me better call on me sunny boy or,890.519,5.841,893.4395
else or else she'd tell your wife I,896.68,3.92,898.64
didn't want to have my wife hurt so you,899.079,2.841,900.4994999999999
went to model's apartment for short I,900.6,2.88,902.0400000000001
couldn't pay her anymore I I hoped I,901.92,5.12,904.4799999999999
could persuade her to what with this I,903.48,5.4,906.1800000000001
never intended to use it I I only wanted,907.04,5.359,909.7194999999999
to scare her you scared her all,908.88,5.879,911.8195
right she had her own little automatic,912.399,4.12,914.459
ready just in,914.759,5.721,917.6195
case she pulled it on you you grabbed,916.519,6.521,919.7795
it your fingerprints were all over it,920.48,5.039,922.9995
benett there was a struggle you grabbed,923.04,5.32,925.6999999999999
hold of the scarf and didn't let go do I,925.519,5.401,928.2195
have to deny all over again the maid,928.36,4.399,930.5595
seeing you was a tough break Bennett if,930.92,2.919,932.3795
you'd only listen to me about that,932.759,2.601,934.0595000000001
listened you're asking us to believe in,935.36,5.2,937.96
an awful choosy robber yeah one who over,937.48,4.96,939.96
looked five grand in cash and a mink,940.56,5.279,943.1995
coat all he took was a heart-shaped,942.44,6.0,945.44
brooch in a woman's life won't even try,945.839,4.721,948.1995000000001
to find it we'll,948.44,4.92,950.9000000000001
try maybe there was such a,950.56,5.0,953.06
brooch maybe you took it yourself after,953.36,4.08,955.4
you strangled it oh you can keep this up,955.56,4.199,957.6595
all night but you'll only get one answer,957.44,4.879,959.8795
I didn't kill,959.759,2.56,961.039
her somebody,966.0,6.959,969.4795
did you better sleep on it,968.92,4.039,970.9395
Bennett we're holding you for the murder,973.199,4.831,975.6144999999999
if only I could do something you've done,999.399,4.641,1001.7195
all you could darling you've been,1001.72,5.64,1004.5400000000001
