text,start,duration,time_midpoint
I don't know about you but it always,76.56,3.9,78.51
makes me sore when I see those War,78.42,4.86,80.85000000000001
pictures all about flying leathernecks,80.46,5.159,83.03949999999999
and submarine patrols and frogmen and,83.28,4.199,85.37950000000001
gorillas in the Philippines,85.619,4.201,87.7195
what gets me is that there never was a,87.479,6.361,90.6595
movie about pows about prisoners of War,89.82,6.96,93.3
now my name is Clarence Harvey cook they,93.84,5.52,96.60000000000001
call me Cookie I was shot down of a,96.78,5.64,99.6
magdeborg Germany back in 43. that's why,99.36,4.32,101.52
I stammer a little once in a while,102.42,3.48,104.16
especially when I get excited,103.68,4.92,106.14
I spent two and a half years in Stalag,105.9,5.579,108.68950000000001
17. Stalag is the German word for prison,108.6,5.699,111.4495
camp and number 17 was somewhere on the,111.479,5.161,114.0595
Danube there are about forty thousand,114.299,4.561,116.57950000000001
pows there if you bother to count the,116.64,4.74,119.01
Russians and the polls and the checks,118.86,5.16,121.44
in our compound there were about 630 of,121.38,6.0,124.38
us All-American Airmen radio operators,124.02,6.78,127.41
Gunners and Engineers all Sergeants,127.38,6.66,130.71
now you put 630 sergeants together and,130.8,4.92,133.26000000000002
oh mother you've got yourself a,134.04,2.82,135.45
there was more fireworks shooting off,136.86,3.42,138.57000000000002
around that joint,138.72,3.84,140.64
take for instance a story about the Spy,140.28,4.5,142.53
we had in our Barracks it was about a,142.56,5.16,145.14000000000001
week before Christmas in 44 and two of,144.78,5.459,147.5095
our guys Manfredi and Johnson to be,147.72,4.8,150.12
exact we're just getting set to blow the,150.239,4.521,152.4995
get up Betty grable's on the phone,226.019,4.58,228.309
here's your civilian clothes okay office,251.36,5.02,253.87
now remember bury your Army outfits,253.68,3.839,255.5995
before you get out of the Forest right,256.38,3.06,257.90999999999997
the compass is a top button of this,257.519,4.581,259.8095
jacket okay,259.44,2.66,260.77
anybody ask for your papers your French,266.22,2.94,267.69000000000005
and here's your map,269.16,5.099,271.70950000000005
money twist pranks Roger,271.56,3.96,273.54
all right now let's hear it once more,274.259,3.121,275.8195
boys we've been over 100 times let's,275.52,3.78,277.40999999999997
hear it again we stick to the forest,277.38,3.66,279.21
going west until we hit the Daniel check,279.3,3.839,281.21950000000004
then we found out Daniel up to Lin's,281.04,4.02,283.05
check in Lins we have a barge and go all,283.139,4.821,285.5495
the way to all check,285.06,2.9,286.51
go back to sleep,292.44,2.96,293.92
go on you're at home once and only Lilo,297.18,3.959,299.1595
until night I'm gonna take a train to,299.46,2.94,300.93
friedrich's often once in,301.139,2.821,302.5495
friedrichshaven we steal our robot get,302.4,2.88,303.84
some fishing tackle and start drifting,303.96,3.54,305.72999999999996
across the lake always South till we get,305.28,4.5,307.53
the other side Switzerland,307.5,4.139,309.5695
once in Switzerland just came out with a,309.78,3.84,311.7
big yellow boy so when are you there,311.639,4.321,313.7995
it's a breeze stay out of this safety,313.62,3.96,315.6
just one question,315.96,5.06,318.48999999999995
did you calculate the risk,317.58,3.44,319.3
you've got 10 minutes to get through the,325.039,3.761,326.91949999999997
tunnel Roger that'll bring out just as,327.24,3.239,328.8595
the Jerry's are changing ships Roger,328.8,4.679,331.1395
peel off and Sean boys,335.88,4.159,337.9595
got a good chance the longest night of,424.819,4.301,426.96950000000004
the year I'll bet they make it to Free,427.44,3.539,429.2095
Bricks often I bet they make it all the,429.12,3.419,430.8295
way to Switzerland I bet they don't get,430.979,3.421,432.6895
out of the forest,432.539,4.801,434.9395
now what kind of crack is that no crack,434.4,4.5,436.65
two packs of cigarettes so they don't,437.34,2.94,438.81
get out of the forest that's enough,438.9,3.419,440.60949999999997
Sefton crawl back in your sack you'd,440.28,3.3,441.92999999999995
make book on his own mother getting hit,442.319,3.0,443.819
by a truck anybody call come on certain,443.58,4.86,446.01
butt out wait a minute Harvey I want to,445.319,4.5,447.569
back those kids I'll cover 10 of them,448.44,3.539,450.2095
I'll take five eight put me down for ten,449.819,4.921,452.27950000000004
I'll cover three I'll take one I'll,451.979,5.461,454.7095
cover the whole pot anything you say,454.74,4.14,456.81
more cigarettes,458.88,2.96,460.36
speak up boys,461.88,6.42,465.09
here's four here's two here's four and,464.639,5.941,467.6095
four more I'll cover eight give me three,468.3,5.88,471.24
I bet two and a half no butts no birds,470.58,6.6,473.88
no bad will this door do you want some,474.18,4.98,476.67
more how that'll do,477.18,3.299,478.8295
I'll speak up boys,479.16,4.7,481.51000000000005
any more Sports in the crowd,480.479,3.381,482.16949999999997
okay security what happened I wish I,557.64,4.62,559.9499999999999
knew we had everything figured out to,559.92,4.38,562.11
the Last Detail maybe the crowds know,562.26,3.72,564.12
about the tunnel all the time shut up,564.3,3.12,565.8599999999999
animal well maybe they were laying for,565.98,4.02,567.99
them out there yeah maybe old accepted I,567.42,4.14,569.49
said hold it,570.0,3.48,571.74
so we heard some shots so who says they,571.56,4.399,573.7594999999999
didn't get away,573.48,2.479,574.7195
anybody here want a double air bit,577.56,3.68,579.4
every morning at six in the dot they'd,603.86,5.2,606.46
have the uphill let's roll call to you,606.36,5.0,608.86
every Barracks had its own alarm clock,609.06,5.24,611.68
our alarm clock was feldable Schultz,611.36,6.099,614.4095
Johann Sebastian Schultz,614.3,5.56,617.0799999999999
I understand the crowds had a composer,617.459,4.741,619.8294999999999
way back with the Johann Sebastian in it,619.86,4.56,622.14
but I can tell you one thing,622.2,4.5,624.45
Schultz was no composer,624.42,4.8,626.8199999999999
he was a schminahood,626.7,6.74,630.07
did he ever a lousy schwino hunt,629.22,4.22,631.33
okay come on you sack rats cut the beef,653.18,4.38,655.37
in and get up,656.04,3.239,657.6595
you guys have some machine gun practice,659.279,4.641,661.5995
last night oh terrible such foolish boys,660.839,6.481,664.0795
such nice boys I better not talk about,663.92,9.099,668.4694999999999
it it makes me sick to my stomach yes,667.32,5.699,670.1695000000001
I killed them both of them oh such nice,675.06,5.399,677.7594999999999
boys it makes me sick,677.94,5.22,680.5500000000001
off stain everybody you too but I made,680.459,5.94,683.429
that Piccolo I Was Made of Schultz he,683.16,4.44,685.38
has a sickness,686.399,3.661,688.2295
you know he's crank uh sometimes I think,687.6,4.2,689.7
he's fooling us with that crazy business,690.06,3.54,691.8299999999999
yeah how would you like to see that,691.8,3.36,693.4799999999999
that's a nine Pals spotted all over your,693.6,2.46,694.83
come on Joy Don't Be Afraid ah I'll stay,696.06,7.5,699.81
please gentlemen you do not want to stay,700.32,5.459,703.0495000000001
in bed on such a beautiful morning we,703.56,5.279,706.1995
are having today huh yeah,705.779,6.06,708.809
she sprechenzie died then drop and see,708.839,4.221,710.9495000000001
or Reason with the jokes,713.06,4.019,715.0695
wake up animal,718.44,4.94,720.9100000000001
come on out of a wake up,720.12,3.26,721.75
good morning animal,724.5,4.86,726.93
what would you like for breakfast,726.839,4.761,729.2195
scrambled eggs with little sausages,729.36,5.34,732.03
bacon and egg sunny side up griddle,731.6,6.28,734.74
cakes a waffle stop and hurry I'm,734.7,6.72,738.0600000000001
warning you coffee milk or maybe a,737.88,5.699,740.7295
little cocoa why do you do this to me,741.42,4.14,743.49
every morning hamburgers and onions,743.579,4.7,745.929
Strawberry Shortcake,745.56,2.719,746.9195
Hitler is waiting to see us,752.519,4.861,754.9495000000001
now let's see we have two empty bunks,755.04,4.52,757.3
I suppose you let those mattresses cool,760.94,4.54,763.21
off a little huh just have a decency oh,763.26,4.319,765.4195
yoga this it is only that the account,765.48,4.02,767.49
with the space you know new prisoners,767.579,4.921,770.0395
coming in every day now uh gentlemen,769.5,4.68,771.84
outside please you don't want me to get,772.5,2.639,773.8195
again eh outside the house hey Souls,775.139,3.961,777.1195
yeah as long as you're gonna move,777.839,3.3,779.489
somebody in how about a couple of them,779.1,4.94,781.57
Russian broads Russian women prisoners,781.139,6.301,784.2895
some are not bad at all yeah just get as,784.04,5.8,786.9399999999999
a cover with beautiful glockenspiece,787.44,7.59,791.235
all right man all in,807.06,5.6,809.8599999999999
all right right,810.139,4.14,812.2090000000001
hey hey hey hey here,814.279,5.381,816.9695
they're coming in,853.519,3.541,855.2895
Good Morgan Sergeants,869.339,3.74,871.2090000000001
nasty weather we are having eh and,875.639,4.741,878.0095
there's so much hope we could give you a,878.459,4.68,880.799
white Christmas just like the ones you,880.38,4.5,882.63
used to know,883.139,3.961,885.1195
and those the words that clever little,884.88,4.44,887.1
man wrote you know the one who stole his,887.1,4.919,889.5595000000001
name from our Capital that something or,889.32,5.6,892.12
other Berlin,892.019,2.901,893.4695
look at that mud come spring,896.22,5.7,899.07
and I hope you will still be with us,899.82,4.56,902.1
next spring we shall plant some grass,901.92,7.46,905.65
here and perhaps some daffodils,904.38,5.0,906.88
spit that medications,909.42,4.279,911.5595
I understand we are minus two men this,916.32,3.48,918.0600000000001
I am surprised that you gentlemen here I,919.8,5.46,922.53
am trying to be your friend and you do,923.279,4.5,925.529
these embarrassing things to me,925.26,4.139,927.3294999999999
don't you know this could get me into,927.779,4.081,929.8195
hot water with the high command they,929.399,5.461,932.1295
would cut Marshall me after all these,931.86,5.219,934.4695
years of a perfect record,934.86,4.5,937.11
now you wouldn't want that to happen to,937.079,4.041,939.0994999999999
me would you,939.36,6.08,942.4
fortunately those two men,941.12,4.32,943.28
as I was saying fortunately those two,955.86,6.06,958.89
men did not get very far,959.1,4.979,961.5895
they had a good sense to rejoin us again,961.92,4.979,964.4095
so my record would stand unblemished,964.079,7.44,967.799
nobody has ever escaped from stalact 17.,966.899,8.12,970.959
not alive anyway,971.519,3.5,973.269
Sergeant Hoffman of Barracks 4 yes,989.16,4.859,991.5894999999999
Sergeant Hoffman has duly elected,991.86,3.96,993.84
compound Chief I protest the way these,994.019,3.601,995.8195000000001
bodies are left lying in the mud,995.82,4.62,998.13
anything else yes according to the,997.62,4.32,999.78
Geneva Convention dead prisoners that,1000.44,4.079,1002.4795
have given a decent burial of course I'm,1001.94,4.68,1004.2800000000001
aware of the Geneva Convention,1004.519,3.661,1006.3495
