text,start,duration,time_midpoint,vader,textblob,llama3
oh man okay,17.06,3.66,18.89,0.2263,0.5,0.7
good afternoon everyone,36.66,3.079,38.19949999999999,0.4404,0.7,0.3
of the Little Pigs,75.38,4.72,77.74,0.0,-0.1875,-0.7
John we can't go on like this seeing,114.479,4.741,116.8495,-0.2755,0.0,0.7
each other at these deadly dull recitals,117.18,3.899,119.1295,-0.4019,-0.20833333333333334,0.4
these teasers the only way we can go on,119.22,3.48,120.96,-0.1779,0.0,-0.7
as long as fillers in the field when he,121.079,3.18,122.669,0.0,-0.05,0.2
comes back we will go right out again,122.7,4.08,124.74,0.0,0.14285714285714285,0.7
three weeks out of every four is in the,124.259,6.0,127.259,0.0,0.0,0.4
field three months out of every four,126.78,5.7,129.63,0.0,0.0,-0.7
do you know what my life was is Mrs,130.259,3.721,132.1195,0.0,0.0,0.4
Captain darling until you were,132.48,4.08,134.51999999999998,0.5859,0.0,0.5
transferred here,133.98,5.54,136.75,0.0,0.0,0.2
hello miss Ann,136.56,2.96,138.04,-0.1531,0.0,0.5
good evening sir I thought the concert,145.56,3.48,147.3,0.4404,0.7,0.7
tonight was a little bit of diamonds,147.42,3.06,148.95,0.0,-0.1875,0.7
doing from the field now any minute,149.04,5.279,151.6795,0.0,0.0,0.6
isn't he Sealy yes he is Mrs Owen my,150.48,5.64,153.29999999999998,-0.3089,0.0,0.4
that'll be interesting,154.319,3.78,156.20899999999995,0.4019,0.5,0.5
very interesting oh come on Margaret,156.12,4.14,158.19,0.4576,0.65,0.7
come on Anne,158.099,4.741,160.46949999999998,0.0,0.0,0.7
giving Lieutenant Mrs dunlan good,160.26,5.059,162.7895,0.6486,0.7,0.4
evening sir,162.84,2.479,164.0795,0.0,0.0,0.6
please come inside,166.56,3.48,168.3,0.3182,0.0,0.7
you think we better not,168.3,4.219,170.4095,0.4404,0.5,-0.7
you're eligible for resignation,183.18,3.919,185.1395,-0.296,0.0,-0.7
apply for it take me with you when you,188.58,3.78,190.47,0.0,0.0,0.4
do you realize what you'd be leaving of,192.36,3.659,194.1895,0.0,0.0,-0.7
