text,start,duration,time_midpoint,vader,textblob,llama3
get around here,86.36,3.54,88.13,0.0,0.0,0.4
number one gun,179.28,5.0,181.78,-0.2732,0.0,0.4
again number two gun,186.66,6.32,189.82,-0.2732,0.0,0.4
we show them our true colors Mr,201.12,2.64,202.44,0.4215,0.35,0.7
break out the Jolly Roger,203.76,24.139,215.8295,0.5106,0.0,0.6
we never hear the end of this Captain,241.68,4.02,243.69,0.0,0.0,0.8
Blood this pirate who captures our,243.299,4.5,245.549,0.0,0.0,-0.7
treasure and our ships,245.7,3.36,247.38,0.296,0.0,0.7
Mighty America,249.06,3.78,250.95,0.0,0.4,0.5
why why haven't you hanged the scoundrel,252.84,5.459,255.5695,0.0,0.0,-0.7
or your majesty the hanging of one,255.9,3.899,257.8495,0.0,0.0,-0.7
pirate is hardly the answer to our,258.299,2.22,259.409,0.0,-0.2916666666666667,-0.7
as long as these Outlaws are protected,260.519,4.441,262.7395,0.4404,-0.05,0.6
in the West Indies by the English oh the,262.5,5.28,265.14,0.0,0.0,0.2
English the English the ouch,264.96,6.179,268.0495,0.0,0.0,-0.5
ever you fool you see Maki,267.78,5.22,270.39,-0.4404,0.0,0.3
it isn't enough that the ruler of Spain,271.139,4.56,273.419,0.0,0.0,-0.7
be bled by his physician this Buccaneers,273.0,5.88,275.94,0.0,0.0,0.2
must bleed our kingdom too,275.699,5.22,278.309,0.0,0.0,-0.7
th Marquis,278.88,4.68,281.22,0.0,0.0,0.3
you're the governor of larger our most,280.919,4.381,283.1095,0.0,0.25,0.6
important Island possession in the West,283.56,5.16,286.14,0.2023,0.4,0.4
Indies you have a galleon of 40 guns,285.3,4.86,287.73,0.0,0.0,0.6
we charge you with a personal,290.16,5.22,292.77000000000004,0.0,0.0,-0.7
responsibility of capturing this Captain,292.08,4.98,294.57,0.0,0.0,0.4
Blood I shall do everything in my power,295.38,2.759,296.7595,0.0,0.0,0.8
but of course your majesty realizes this,298.139,4.321,300.2995,0.0,0.0,0.6
