text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
leave the cell door open that's all the,84.439,4.521,86.69949999999999,-0.0516,0.0,0.4,-0.11458708794528291,-0.046386510800670605,0.1316587870064718
Restort let him Escape in my view it's,86.36,4.079,88.3995,0.1779,0.0,0.3,-0.11588456882699971,-0.04635341936193601,0.1314287694408948
all very irregular,88.96,3.56,90.74,0.0,0.2,-0.7,-0.11764249549570008,-0.04630617370842234,0.13111627861164074
it might entail the most embarrassing,90.439,4.761,92.8195,-0.4391,0.5,-0.7,-0.11917690883083717,-0.046262565414677,0.13084271332264036
repercussions exact certainly it's a,92.52,4.52,94.78,0.34,0.2321428571428571,0.3,-0.12059994672710739,-0.04622005412381291,0.13058832309996457
responsibility of the first magnitude,95.2,4.12,97.26,0.0,0.25,0.6,-0.12236745474403132,-0.046164343778094495,0.130271426527331
I'm sorry Mr Wilson but you must blast,97.04,4.48,99.28,-0.0387,-0.5,0.4,-0.12378032900563678,-0.04611737852609277,0.13001736297240912
all this discussion what good of words,99.32,4.479,101.5595,0.4404,0.7,-0.7,-0.12534597034188943,-0.046062676828995695,0.12973503958382623
I'm sick of words hang the repercussions,101.52,4.76,103.9,-0.5106,-0.6378318744003639,-0.7,-0.12692195923800867,-0.04600464252070385,0.12945000036301385
and the responsibility if I fail I am,103.799,4.841,106.2195,-0.5423,-0.5,0.3,-0.12845243521044816,-0.045945271509041964,0.12917236471945923
responsible leave the cell door open let,106.28,5.0,108.78,0.2732,0.1,0.4,-0.13010586109886613,-0.04587759733811007,0.12887149495206485
him Escape let him it's our only chance,108.64,3.839,110.5595,0.4019,0.0,0.7,-0.13123278072802735,-0.0458292531050366,0.12866587113444744
but you can threaten me with a bottom,111.28,3.6,113.08,-0.5267,0.0,-0.7,-0.13279799571670606,-0.04575894731820494,0.12837950915709379
pits of hell and still I insist this,112.479,4.521,114.7395,-0.6808,0.0,-0.7,-0.13380880775700119,-0.045711492153269466,0.12819409977615265
obscenity must be destroyed do you hear,114.88,3.96,116.86,-0.4939,0.0,-0.8,-0.1350777334644614,-0.04564951431119025,0.12796080927775833
all passengers ready to disembark I'm,136.12,5.56,138.9,0.3612,0.2,0.4,-0.14678982509443764,-0.04491826602206741,0.12577844116311818
traveling for my health I am traveling,139.319,3.521,141.0795,0.0,0.0,0.7,-0.14780466693148675,-0.04483752048598804,0.12558682191505988
passaportes get your passports,144.879,7.521,148.6395,0.0,0.0,0.7,-0.15113001508199944,-0.04454600755072724,0.12495617275543747
ready and ready in for my,148.36,4.04,150.38000000000002,0.6124,0.2,0.6,-0.15185317015206087,-0.04447640705689495,0.12481848206928856
health I don't understand you business,162.8,6.76,166.18,0.0,0.0,-0.7,-0.15770682429240268,-0.043802992024969546,0.12369777109030831
in this country I'm joining my,166.08,5.83,168.995,0.0,0.0,0.6,-0.15861763587601208,-0.0436753003813188,0.1235226583395734
